title,url,price,rating,shop
"Laptop MSI Creator 16 AI Studio A1VHG 079VN (Ultra 9-185H/ 64GB/ 2TB SSD/ RTX 4080 12GB/ 16.0"" UHD+/ Win11)",https://www.lazada.vn/products/pdp-i2632526364.html,91.080.000 ₫,,
Laptop MSI Stealth 14 AI Studio A1VFG New | Intel Core Ultra 7 155H | RAM 32GB | 1TB SSD | RTX 4060| 14 Inch 2.8K 120Hz,https://www.lazada.vn/products/pdp-i2629969468.html,52.900.000 ₫,,
Laptop bỏ túi Onemix GPD 7 inch ram 8GB chip lõi tứ màn hình cảm ứng cực kỳ nhỏ gọn,https://www.lazada.vn/products/pdp-i2138708138.html,6.970.000 ₫,5.0,70 Đã bán
"CHUWI | Laptop Gaming Mỏng Nhẹ Cao Cấp Intel Core Thế Hệ 12, 6 Nhân 8 Luồng, 14 inch 2K",https://www.lazada.vn/products/pdp-i3197230140.html,9.452.000 ₫,4.0,
Laptop Lenovo V14 IIL (82C400W3VN8GB) Core™ i5 _ 1035G1 | 8GB | 256GB SSD PCIe | VGA INTEL| Hàng Chính Hãng,https://www.lazada.vn/products/pdp-i2119263992.html,10.950.000 ₫,5.0,10 Đã bán
Laptop Lenovo ThinkBook 16 G8 IRL 21SH0093VA | Core 5 210H | 16GB | 512GSSD | 16″ WUXGA | NoOS | Arctic Grey | Hàng chính hãng,https://www.lazada.vn/products/pdp-i3187380521.html,19.999.000 ₫,,"9 Đã bán
Hồ Chí Minh"
asus factory laptop Mini 100% mới 14.1 Inch intel J4105 RAM 6GB SSD 256GB máy tính xách tay Windows 10 Pro & MS Office Notebook Lenovo factory Bảo hành 3 năm,https://www.lazada.vn/products/pdp-i2420326077.html,6.899.998 ₫,4.0,44 Đã bán
DELL LATITUDE 7390 CORE I7 8650U RAM 16G SSD 512G 13.3INCH FHD IPS GIÁ RẺ TẶNG KÈM BỘ PHỤ KIỆN,https://www.lazada.vn/products/pdp-i2541227079.html,6.555.000 ₫,5.0,8 Đã bán
LAPTOP xách tay giá rẻ DELL PRECISION 5540 I7 9850H RAM 16gb SSD 512gb,https://www.lazada.vn/products/pdp-i2656655480.html,15.300.000 ₫,,"16 Đã bán
Hà Nội"
Túi Đựng Laptop Chống Nước – Túi Lót Màu Trơn Có In Logo Theo Yêu Cầu,https://www.lazada.vn/products/pdp-i2524413345.html,16.000 ₫,4.0,
"Laptop 2020/mới 95-96% Dell Latitude 5300 i5 8265U vPro/ 8GB/ 256GB SSD/ 13.3"" / Win 10Pro/ Pin3-5h",https://www.lazada.vn/products/pdp-i2305157286.html,3.853.200 ₫,5.0,86 Đã bán
laptop toshiba z35 cực mạnh - i5 6200U U Ram 16GB SSD 256G,https://www.lazada.vn/products/pdp-i2590786738.html,2.900.000 ₫,4.0,210 Đã bán
"Laptop Giá rẻ Dell Latitude 3590 Core™ i5 | Core™ i3 | 8250U | Ram 8G | SSD 256G | HD Graphics 620 |MH 15.6 "" Pin&gt; 4h",https://www.lazada.vn/products/pdp-i2556168712.html,3.458.000 ₫,5.0,75 Đã bán
"Thanh lý Laptop Acer 722, Cpu core 2 duo, ram 2G, ô cứng 320G, Màn 12 inh"", giá 1,5 triệu",https://www.lazada.vn/products/pdp-i2539681715.html,1.000.000 ₫,5.0,5 Đã bán
VUA VĂN PHÒNG Laptop Lenovo ThinkPad L590/ Core i7- 8565U Ram 16gb SSD 512gb Pin&gt;4h,https://www.lazada.vn/products/pdp-i2313161026.html,3.902.599 ₫,4.0,54 Đã bán
laptop i3 siêu đẹp,https://www.lazada.vn/products/pdp-i1160774992.html,1.299.999 ₫,2.0,9 Đã bán
"Thanh lý Laptop DELL N4110, Cpu core I3 ram 4G, ô cứng 120G, Màn 14"". Giá bán 1,5 Triệu",https://www.lazada.vn/products/pdp-i2362812031.html,1.500.000 ₫,5.0,5 Đã bán
