title,url,price,rating,shop
"【Free Gift】Màn hình di động GOOJODOQ 15.6 14 Inch 1920*1080P FHD IPS USB-C HDMI Portable Monitor Cho Laptop máy tính, điện thoại, máy chơi game PS4",https://www.lazada.vn/products/pdp-i2478628024.html,1.729.000 ₫,4.0,680 Đã bán
"Màn hình máy tính Provision 19'' 22'' 24'' 27 inch độ phân giải 1920x1080 tần số 75Hz Full HD, Màn Hình Gaming, Màn hình máy tính giá rẻ - Bảo hành chính hãng 24 tháng",https://www.lazada.vn/products/pdp-i1712517425.html,1.500.000 ₫,5.0,14 Đã bán
Màn Hình Máy Tính Xiaomi Monitor A24i EU | IPS | 100 Hz | 6ms | 1920 x 1080 | FHD | 24inch - Bảo Hành 36 Tháng,https://www.lazada.vn/products/pdp-i2770356739.html,1.790.000 ₫,5.0,20 Đã bán
Màn hình di động GOOJODOQ 14/15.6inch portable monitor IPS 2.5K 1920*1080P FHD HDMI Đế Kéo Dài Loa Ps4 Điện Bảo hành chính hãng,https://www.lazada.vn/products/pdp-i2610558168.html,1.682.100 ₫,4.0,203 Đã bán
"Màn Hình 27inch Cong K-Vision Tấm Nền IPS 100Hz Full Viền Độ Phân Giải 1920x1080, Màn Hình Gaming Full Viền. Bảo hành 24 tháng, Màn hình 24 inch 165Hz, Màn Hình 27 inch 165hz",https://www.lazada.vn/products/pdp-i2208491473.html,1.700.000 ₫,5.0,6 Đã bán
"BOE Màn hình di động cảm ứng IPS FHD/2.5K, 60hz-144hz Type C / HDMI Portable Monitor",https://www.lazada.vn/products/pdp-i2743398838.html,1.632.000 ₫,4.0,68 Đã bán
Màn Hình 2K IPS 24 inches,https://www.lazada.vn/products/pdp-i3233733935.html,2.194.000 ₫,,
"BOE Màn hình di động IPS FHD/2.5K, 60hz-144hz Type C / HDMI Portable Monitor",https://www.lazada.vn/products/pdp-i2743446576.html,1.780.000 ₫,5.0,104 Đã bán
"Màn hình phụ monitor cho máy ảnh, máy quay Shimbol M5 5.5 inch dành cho máy ảnh hỗ trợ độ phân giải fullHD, độ sáng lên tới 1200nits chính hãng",https://www.lazada.vn/products/pdp-i3036036958.html,3.590.000 ₫,,
màn hình 24 inch 100Hz/165HZ/1ms(GTG) Full HD 1080P IPS Hỗ trợ HDMI/VGA/DP HDR400 Bảo hành 3 năm,https://www.lazada.vn/products/pdp-i3211350655.html,1.295.000 ₫,5.0,
Màn Hình Chơi Game 24 Inch 260Hz Ánh Sáng Xanh Thấp,https://www.lazada.vn/products/pdp-i3195166125.html,4.005.000 ₫,4.0,
Màn hình PC Giá Rẻ - 19 - 22 inch - Hình ảnh hiển thị đẹp,https://www.lazada.vn/products/pdp-i2952092817.html,763.000 ₫,5.0,
"[NEW] Màn Hình Gaming Xiaomi Gaming Monitor G27i 2026 (FHD/IPS/200Hz/1ms) - Phiên Bản Quốc Tế, Bảo Hành Chính Hãng 36 Tháng",https://www.lazada.vn/products/pdp-i2771173361.html,3.190.000 ₫,5.0,45 Đã bán
Màn Hình Máy Tính 22 Inch Full HD - Phù Hợp Làm Việc Và Giải Trí,https://www.lazada.vn/products/pdp-i2952122625.html,763.000 ₫,5.0,
Màn Hình Cong Gaming DUAN 24 Inch | FHD | 100Hz | HDMI + VGA | BH 24 Tháng,https://www.lazada.vn/products/pdp-i2149485494.html,1.999.000 ₫,4.0,690 Đã bán
"Phân tần Felix chính hãng dbacoustic ES12 dùng cho loa đơn, monitor (1 cái)",https://www.lazada.vn/products/pdp-i3166505999.html,499.000 ₫,,
Màn hình MSI PRO MP251 E2 (24.5 inch/FHD/IPS/120Hz/1ms/Loa) - Chính hãng,https://www.lazada.vn/products/pdp-i2860182398.html,2.410.000 ₫,,
"Màn hình vi tính Xiaomi Redmi Desktop Monitor 27 inch, 24 inch, 22 inch Phẳng / IPS / Tần số 75Hz / FHD 1080P - Bảo hành 24 tháng",https://www.lazada.vn/products/pdp-i1712774949.html,1.790.000 ₫,4.0,220 Đã bán
"Màn hình MSI Pro 25"" MP251E2 (FHD/IPS/120Hz/Hdmi+Vga/Phẳng)",https://www.lazada.vn/products/pdp-i2932514826.html,2.271.906 ₫,5.0,5 Đã bán
Màn Hình Chơi Game 2K 210Hz Có Thể Quay Đổi Và Điều Chỉnh 27 inches,https://www.lazada.vn/products/pdp-i3195848729.html,4.775.000 ₫,4.0,
Màn Hình Máy Tính 22 Inch Full HD - Phù Hợp Làm Việc Và Giải Trí,https://www.lazada.vn/products/pdp-i2952153283.html,765.000 ₫,,
"Màn hình vi tính PC để bàn kích thước 19 inch ngoại hình đẹp, sử dụng tốt",https://www.lazada.vn/products/pdp-i2064024497.html,650.000 ₫,,
Màn hình máy tính Xiaomi 2K Curved Gaming Monitor G34i 34inch-Tần Số Quét 180Hz - Bảo Hành 36 Tháng,https://www.lazada.vn/products/pdp-i2827094494.html,6.490.000 ₫,5.0,15 Đã bán
"Màn Hình Máy Tính Xiaomi Redmi 27 inch 24 inch 22 inch Monitor Anh Sáng Xanh Thấp Độ Phân Giải Full HD Màn hình LCD Tấm Nền IPS, 75Hz, Kết Nối VGA, HDMI",https://www.lazada.vn/products/pdp-i2156735719.html,1.690.000 ₫,5.0,
Màn hình vi tính Xiaomi Redmi 24 inch Độ Phân Giải Full HD (1980X1080) Tần Số Quét 100Hz - Bảo Hành Chính hãng,https://www.lazada.vn/products/pdp-i2155975601.html,1.650.000 ₫,5.0,
"Màn hình LCD Led 8inch MONITOR Model 1208 củ sọc màn hình ảnh bo còn chạy ok bán cho a,em về thay màn hay lấy bo chế qua màn khác,thay cho máy 8in màn còn hư bo..v..Dùng cho máy tính PC,laptop,kính hiển vi,máy nội soi,máy dò đồng bộ,máy đóng tab tivi...",https://www.lazada.vn/products/pdp-i2102249650.html,400.000 ₫,,
Màn hình vi tính desktop 17 đến 22 inch bảo hành 3 tháng,https://www.lazada.vn/products/pdp-i2061808606.html,531.000 ₫,5.0,25 Đã bán
Màn hình máy tính 24 Inch - Có bảo hành,https://www.lazada.vn/products/pdp-i3175058573.html,1.300.000 ₫,5.0,
Màn Hình Máy Tính Gaming E-Dra EGM24F100H 23.8 inch FullHD IPS 100hz 1ms phẳng - Hàng chính hãng,https://www.lazada.vn/products/pdp-i2815639451.html,1.769.130 ₫,5.0,9 Đã bán
Màn Hình Xiaomi K40 Gaming monitoMàn Hình Xiaomi K40 Gaming monitor / Black Shark 5 Pro / Poco F3 GT ( incell Pinsen )r / Black Shark 5 Pro / Poco F3 GT ( incell Pinsen ),https://www.lazada.vn/products/pdp-i3063365292.html,380.000 ₫,1.0,
"Màn hình máy tính Gaming Provision 24 inch | 22 inch | 20 inch | 19 inch Phẳng. Màn Hình Gaming Cong 27 inch Hàng chính hãng . Màn hình cho máy tính để bàn, màn hình vi tính giá rẻ, màn hình provision",https://www.lazada.vn/products/pdp-i1798120376.html,1.150.000 ₫,,
Màn Hình Gaming 27 Inch 2K 180Hz Điều Chỉnh FastIPS,https://www.lazada.vn/products/pdp-i3220347835.html,4.519.000 ₫,4.0,
Màn hình máy tính monitor K VISION 27 inch/24 inch/ Cong / Full Viền/ 1920x1080 /BH 24T,https://www.lazada.vn/products/pdp-i2036101510.html,1.590.000 ₫,4.0,57 Đã bán
Màn hình PC để bàn Monitor K VISION 24inch IPS/ 22 INCH / 75 Hz Chính hãng - BH 2 năm,https://www.lazada.vn/products/pdp-i2051027725.html,1.590.000 ₫,4.0,329 Đã bán
Monitor theo dõi bệnh nhân 5 thông số Yonker YK-8000A (Màn hình 7 inch),https://www.lazada.vn/products/pdp-i2970986698.html,9.300.000 ₫,,
Màn Hình Máy Tính PC Xiaomi Monitor A24i 23.8 inches Tấm Nền IPS 100Hz Bảo hành 36 Tháng,https://www.lazada.vn/products/pdp-i2843368119.html,1.890.000 ₫,5.0,26 Đã bán
Màn hình máy tính Xiaomi Monitor A24i 23.8 inch FHD/IPS/100Hz/6ms/HDMI ELA5444EU - Chính hãng Digiworld,https://www.lazada.vn/products/pdp-i2645010255.html,2.090.000 ₫,5.0,
Màn Hình Máy Tính Provision Full HD 19'' 20'' 21.5'' 24'' inch Mới 100% Siêu Đẹp Siêu Nét Kiểu Dáng Tinh tế Bảo Hành 24 Tháng,https://www.lazada.vn/products/pdp-i1375304492.html,1.150.000 ₫,4.0,22 Đã bán
"Màn hình di động 15.6 inch IPS FHD Type C HDMI - Portable Monitor máy tính, điện thoại - Bảo hành chính hãng",https://www.lazada.vn/products/pdp-i2896394835.html,2.050.000 ₫,5.0,
Màn hình BenQ GW2791_bảo vệ mắt 27 inch 1080p IPS 100Hz phù hợp làm việc và giải trí,https://www.lazada.vn/products/pdp-i2941684359.html,2.750.000 ₫,,
"Màn hình LCD 17 inch vuông các hãng Samsung LG Acer Asus HP AOC Viewsonic BenQ, đủ cáp nguồn cáp VGA",https://www.lazada.vn/products/pdp-i3016756197.html,250.000 ₫,5.0,47 Đã bán
Màn hình vi tính 19 inch,https://www.lazada.vn/products/pdp-i1200840625.html,559.910 ₫,4.0,Priority Instant
RUNING | Màn Hình Cảm Ứng Di Động 4K 144Hz,https://www.lazada.vn/products/pdp-i3220790298.html,1.542.000 ₫,4.0,5 Đã bán
Màn hình di động 14 inch IPS 2.5K TypeC Thunderbolt - Tặng kèm bao da,https://www.lazada.vn/products/pdp-i2128244270.html,1.168.000 ₫,4.0,322 Đã bán
Spin Màn hình cong 1080p 27inch Led Màn hiển thị 24inch Máy tính Full HD LCD 100hz Thiết bị hiển thị,https://www.lazada.vn/products/pdp-i3080415323.html,1.690.000 ₫,4.0,167 Đã bán
Màn hình máy tính LCD LED 19 inch wide các hãng Samsung LG HP Dell AOC..... đủ cáp nguồn cáp VGA,https://www.lazada.vn/products/pdp-i2394463282.html,400.000 ₫,4.0,24 Đã bán
Màn hình vi tính giá rẻ 19inch nhiều hãng sáng đẹp kèm đủ dây cáp,https://www.lazada.vn/products/pdp-i1996638751.html,550.000 ₫,4.0,18 Đã bán
"Màn hình máy vi tính 20in các hãng samsung, Asus, Hp, Lg wide sáng đẹp",https://www.lazada.vn/products/pdp-i1999067608.html,683.000 ₫,4.0,144 Đã bán
Màn hình 17-27in kẻ/nàm/mực/hở sáng cũ thanh lý văn phòng,https://www.lazada.vn/products/pdp-i2497795143.html,199.000 ₫,5.0,8 Đã bán
[ TOP 1 BÁN CHẠY ] Màn hình máy tính Gaming 27 inch 2K QHD | Tấm nền IPS | Tần số 75Hz | Hàng chính hãng. Bảo hành 24 tháng,https://www.lazada.vn/products/pdp-i750952776.html,1.689.000 ₫,4.0,304 Đã bán
"[Siêu Sale 7.7] Màn hình máy tính Provision 27 inch cong, 24 inch - 22 inch - 20 inch - 19 inch Phẳng Chuyên dùng cho học tập , văn phòng , bán hàng - Hàng chính hãng",https://www.lazada.vn/products/pdp-i1712608033.html,1.500.000 ₫,5.0,43 Đã bán
màn hình 27 inch 144/165Hz/1ms(GTG) Full HD 1080P IPS Hỗ trợ HDMI/VGA/DP HDR400 Bảo hành 3 năm,https://www.lazada.vn/products/pdp-i3211004337.html,2.158.000 ₫,5.0,
Màn hình LCD gaming 27inch 2K IPS 100hz / 144hz / 165hz / 180hz New Box bảo hành chính hãng 24 Tháng,https://www.lazada.vn/products/pdp-i3160635307.html,2.188.000 ₫,5.0,6 Đã bán
Màn hình cong Spin Màn hình LED 24&27 inch Full HD Màn hình máy tính chơi game 100hz,https://www.lazada.vn/products/pdp-i3080407416.html,1.690.000 ₫,5.0,Priority Instant
Màn hình di động 15 inch IPS 2.5K 144Hz có TypeC ThunderBolt - Tặng kèm bao da,https://www.lazada.vn/products/pdp-i2178702493.html,1.548.000 ₫,4.0,232 Đã bán
Màn hình Samsung công thái học D400GAEXXV FHD IPS 100Hz Bảo vệ mắt Khử nhấp nháy,https://www.lazada.vn/products/pdp-i2979312860.html,2.385.000 ₫,5.0,80 Đã bán
Cam kết rẻ Nhât Màn hình PC để bàn Tomko / K-VISION 27 inch 2K/ IPS / 2560 x 1440 / Hàng Chính Hãng chất lượng tốt,https://www.lazada.vn/products/pdp-i2050853830.html,1.590.000 ₫,4.0,723 Đã bán
"Màn hình di động ZX1505 Nhiều Kích thước FullHD / 2K cho máy tính , laptop , smartphone",https://www.lazada.vn/products/pdp-i1935629973.html,1.955.000 ₫,4.0,87 Đã bán
Màn hình di động 11 inch IPS có Type-C ThunderBolt - Tặng bao da,https://www.lazada.vn/products/pdp-i2269470383.html,888.000 ₫,5.0,44 Đã bán
Màn Hình Spin 34inch 3440×1440 UWQHD 1ms Cong1500R Tốc Độ 180Hz Siêu Nhanh Tỷ Lệ 21:9 Siêu Rộng Trải Nghiệm Đắm Chìm,https://www.lazada.vn/products/pdp-i3168568211.html,6.138.000 ₫,5.0,Priority Instant
[Giao hàng sau 20 ngày][MIỄN PHÍ VẬN CHUYỂN] Màn hình Gaming Samsung 32 inch Odyssey G5 G55C QHD 165Hz LS32CG552EEXXV,https://www.lazada.vn/products/pdp-i2503105614.html,5.399.000 ₫,4.0,60 Đã bán
Màn hình Máy Tính 19 LCD 1 Sọc hoặc Sạm xước nhẹ,https://www.lazada.vn/products/pdp-i2197974539.html,280.000 ₫,5.0,
"Màn Hình 27 inch 2K 100Hz IPS với Công Nghệ Chống Lóa, Ánh Sáng Xanh Thấp và Không Nhấp Nháy",https://www.lazada.vn/products/pdp-i3220733335.html,3.187.000 ₫,4.0,
Màn hình máy vi tính Dell hp 22i 20in 19in 17in 15in wide Vuong hàng công ty đẹp giá chi 200k bảo hành chu đáo tại shop,https://www.lazada.vn/products/pdp-i2892712523.html,275.000 ₫,5.0,
Màn hình samsung 19in thanh lý TẶNG cáp + nguồn,https://www.lazada.vn/products/pdp-i2418418415.html,589.000 ₫,5.0,
JIETAO Màn hình cong 17/19/22/24/27/32 inch Tốc độ làm mới 165HZ IPS Cáp HDMI Bảo hành 1 năm,https://www.lazada.vn/products/pdp-i2594711738.html,1.580.000 ₫,4.0,18 Đã bán
Màn hình di động 11 inch vỏ Polycarbonate mỏng nhẹ có Type-C ThunderBolt,https://www.lazada.vn/products/pdp-i2426119093.html,888.000 ₫,4.0,46 Đã bán
"Màn hình di động Full HD 11,6 inch Màn hình IPS | HDR | 60Hz cho máy chơi game, điện thoại di động, máy tính",https://www.lazada.vn/products/pdp-i3211512554.html,1.287.000 ₫,5.0,
Màn hình vi tính 19 inch sáng đẹp có bảo hành 3 tháng,https://www.lazada.vn/products/pdp-i2624974640.html,699.000 ₫,5.0,16 Đã bán
KTC | Màn Hình Chơi Game 24 inches 2K 180Hz Dải Màu Rộng FastIPS Ánh Sáng Xanh Thấp,https://www.lazada.vn/products/pdp-i3201711033.html,4.904.000 ₫,4.0,
"Màn hình Dell 20 inch, đẹp, hình ảnh nét , hàng đã qua sử dụng",https://www.lazada.vn/products/pdp-i3063477044.html,484.165 ₫,4.0,12 Đã bán
Màn hình máy tính 22 inch (nhiều hãng) samsung / LG / Acer / Asus..,https://www.lazada.vn/products/pdp-i2238744457.html,876.850 ₫,5.0,Priority Instant
Màn hình ViewSonic VX2758-2K-PRO-8 27inch 2K 180hz (27''/NanoIPS/2K/180Hz/1ms/FreeSync) Hàng chính hãng MỚI 100%,https://www.lazada.vn/products/pdp-i3195468429.html,3.804.000 ₫,5.0,5 Đã bán
Màn hình Xiaomi A27i (ELA5345EU) (27 inch/FHD/IPS/100HZ/6ms/HDMI) - Chính hãng,https://www.lazada.vn/products/pdp-i2740616512.html,2.220.000 ₫,5.0,15 Đã bán
Màn hình di động gaming GOOJODOQ 18.5 inch góc rộng IPS 1080P FHD thiết kế Cho Laptop Mở Rộng Chân Đế Loa PS4 Android Switch,https://www.lazada.vn/products/pdp-i2963679018.html,3.106.100 ₫,4.0,22 Đã bán
"Màn hình máy vi tính LG 1742se vuông đã gồm dây kết nối, còn sáng đẹp ban gia 299k tại shop",https://www.lazada.vn/products/pdp-i3055029056.html,360.000 ₫,4.0,17 Đã bán
Màn hình máy tính 22 inch Samsung chữ nhật,https://www.lazada.vn/products/pdp-i2238770766.html,950.000 ₫,5.0,10 Đã bán
Siêu mỏng 20 inch cao rõ ràng màn hình LED mắt chăm sóc Màn hình máy tính để bàn với 1440x900 Độ phân giải 1ms Thời gian đáp ứng tương thích với VGA và giao diện HDMI,https://www.lazada.vn/products/pdp-i2609327381.html,1.284.851 ₫,,
Màn hình 19 in Dell,https://www.lazada.vn/products/pdp-i2172408991.html,730.000 ₫,4.0,49 Đã bán
ThinkPlus | Màn Hình Giám Sát Kinh Doanh 100 inches 4K Siêu Sáng Không Quảng Cáo,https://www.lazada.vn/products/pdp-i3184304687.html,89.713.000 ₫,,
"Màn Hình Máy Tính Xiaomi A27i 27 Inch Full HD (1920x1080) IPS 100Hz – Viền Mỏng, Gaming/ Làm Việc – Bảo Hành 3 Năm",https://www.lazada.vn/products/pdp-i2592080769.html,2.300.000 ₫,5.0,458 Đã bán
"Màn hình Lenovo L27qe 27"" (QHD (2K) 2560 x 1440/ IPS/ 100Hz/ 6 ms) - Bảo hành 36 tháng",https://www.lazada.vn/products/pdp-i3149187223.html,3.090.000 ₫,,"6 Đã bán
Hồ Chí Minh"
Màn hình Xiaomi A27Qi EU 27 inch (2K/ IPS/ 100Hz/ 6ms(GTG)) (ELA5812EU) - Bảo hành 36 tháng,https://www.lazada.vn/products/pdp-i3058118139.html,3.319.000 ₫,4.0,74 Đã bán
