title,url,price,rating,shop
"Máy tính bảng X6 Pro Khuyến mãi lớn ban đầu 2023 Chính hãng 10,8 inch 16GB + 512GB Màn hình 8800mah Máy tính bảng Android Máy tính bảng học tập dành cho sinh viên 5G/WIFI Dual SIM để xem trò chơi Máy tính bảng giá rẻ COD",https://www.lazada.vn/products/pdp-i2388552502.html,1.067.040 ₫,4.0,725 Đã bán
"Máy tính bảng , siêu mạnh, nhỏ gọn 8,7 inch, xài được sim 4g + wifi Samsung Galaxy Tab",https://www.lazada.vn/products/pdp-i2641923822.html,247.500 ₫,5.0,44 Đã bán
"Máy tính bảng chơi game S9 11,6 inch full HD Android 12.0 16GB + 512GB hỗ trợ hai SIM ở chế độ chờ kép 4G/bộ nhớ lớn 5G SIM 8800mah máy tính bảng dành cho sinh viên giá rẻ và phải chăng",https://www.lazada.vn/products/pdp-i2603003553.html,1.180.000 ₫,3.0,19 Đã bán
[SĂN SALE GIỮ CHUỖI 4.11] [DEAL GIỚI HẠN] Máy tính bảng Samsung Galaxy Tab A9+ Wifi (4GB/ 64GB),https://www.lazada.vn/products/pdp-i3125156450.html,3.990.000 ₫,5.0,676 Đã bán
Máy tính bảng Asus Zenpad Z8 -Verizon 8 inch Snap650 ram 2Gb+16Gb,https://www.lazada.vn/products/pdp-i2143441109.html,790.000 ₫,5.0,5 Đã bán
Máy tính bảng REDMI Pad SE 8.7 Wifi (4+64G | 4+128GB | 6+128G ) | LCD 90Hz | MediaTek Helio G85 8 | Pin 6650mAh,https://www.lazada.vn/products/pdp-i3014413871.html,2.490.000 ₫,4.0,151 Đã bán
"[Mua 1 tặng 6] Máy tính bảng TAB P70 2025 12.0 inch mới, gọi 4G/5G, Full HD 15000mAh, hỗ trợ thẻ SIM kép Máy tính bảng 5G 16GB RAMROM1024GB máy tính bảng Máy tính bảng Android 15.0 miễn phí vận chuyển",https://www.lazada.vn/products/pdp-i2860270474.html,1.549.762 ₫,4.0,154 Đã bán
2023 Mới Máy Tính Bảng X6 Pro 10.8 Inch 4K Toàn Màn Hình 12GB RAM + 512GB ROM Call Tablet Series 4G/5G WIFI Dual SIM Android 12.0 8800mah Type-C Máy Tính Bảng Học Tập Cho Trẻ Em Miễn Phí Vận Chuyển,https://www.lazada.vn/products/pdp-i2388575369.html,1.067.040 ₫,4.0,107 Đã bán
Máy tính bảng 10.8 inch Bộ nhớ siêu lớn V62 16GB+512GB Màn hình hiển thị Ultra HD Android 13 Sức đề kháng 15000mAh Snapdragon 888 12 lõi Chơi nhanh Văn phòng chơi game khác nhau Mang theo máy tính bảng mỏng và nhẹ,https://www.lazada.vn/products/pdp-i2915968732.html,1.440.000 ₫,4.0,193 Đã bán
"[SĂN SALE GIỮ CHUỖI 4.11] Máy tính bảng Galaxy Tab S11 Ultra, Galaxy AI, S Pen thế hệ mới, Màn hình lớn 14.6""",https://www.lazada.vn/products/pdp-i3187148725.html,33.990.000 ₫,5.0,17 Đã bán
