title,url,price,rating,shop
"[GIAO TẠI HCM] 100QN80F - Smart AI Tivi Samsung Mini LED 4K 100 Inch 100QN80F - Công nghệ Quantum Matrix Technology Core , Motion Xcelerator 144Hz, Công nghệ Real Depth Enhancer, Công nghệ Neo Quantum HDR, Công nghệ Auto HDR Remastering",https://www.lazada.vn/products/pdp-i3179908998.html,149.000.000 ₫,,
Smart Tivi Samsung Crystal UHD DU9000 4K Tizen OS Smart TV 2024,https://www.lazada.vn/products/pdp-i2670963586.html,98.900.000 ₫,,
"Thanh lý smart Tivi LG chính hãng 43inch siêu bền, ngoại hình đẹp 98%",https://www.lazada.vn/products/pdp-i2588404973.html,2.449.000 ₫,4.0,37 Đã bán
"Android Tivi Sony 43 inch bắt wifi,youtobe cực nhanh",https://www.lazada.vn/products/pdp-i2322449637.html,3.550.000 ₫,4.0,62 Đã bán
【UHD 4K】55inch - Smart Google TV TCL 55T66 - Tần số quét 60Hz - Dolby Atmos - TV Bán Chạy - Bảo Hành 2 Năm - Hàng Chính Hãng,https://www.lazada.vn/products/pdp-i1933199122.html,7.310.000 ₫,4.0,Cam Kết Giá Tốt
[LẮP 0Đ HCM/HN] Google Tivi Casper 43 inch - Full HD - 43FGK610 - Chính hãng - Bảo hành 2 năm,https://www.lazada.vn/products/pdp-i2911536589.html,4.800.000 ₫,4.0,31 Đã bán
[TV Mới] Xiaomi TV A Pro 55'' 2026 | Màn hình QLED 4K độ sáng cao với công nghệ làm mượt chuyển động | Tần số quét 120Hz khi bật chế độ Game Boost qua HDMI | Bề mặt kim loại bắt mắt với thiết kế khung viền siêu mỏng,https://www.lazada.vn/products/pdp-i3092345102.html,9.300.000 ₫,5.0,Cam Kết Giá Tốt
[MIỄN PHÍ VẬN CHUYỂN] Smart Tivi SAMSUNG Crystal UHD DU7000 4K 43 Inch Tizen OS (2024),https://www.lazada.vn/products/pdp-i2653122562.html,6.090.000 ₫,5.0,52 Đã bán
【QLED】43-40-32inch - Smart Google TV TCL V5C - Tấm nền HVA - Tần số quét 60Hz - Dolby Atmos - Bảo Hành 2 Năm - Hàng Chính Hãng,https://www.lazada.vn/products/pdp-i3105893464.html,4.345.000 ₫,4.0,153 Đã bán
Google Tivi Sony 4K 55 inch KD-55X80K,https://www.lazada.vn/products/pdp-i2398300762.html,10.496.700 ₫,5.0,14 Đã bán
