title,url,price,rating,shop
iPad 11 (A16) WiFi - Hàng Chính Hãng,https://www.lazada.vn/products/pdp-i3060604084.html,8.990.000 ₫,4.0,448 Đã bán
Máy tính bảng Lenovo Tab M10 Plus X616M màn 10 inch - Ram 4G 64G,https://www.lazada.vn/products/pdp-i3149712484.html,1.848.000 ₫,,
Máy tính bảng Masstel Tab 8.3 3GB 32GB Chính Hãng,https://www.lazada.vn/products/pdp-i2807624162.html,1.350.000 ₫,,
Máy Tính Bảng Mobell Tab 8.1 Chính Hãng ( 2G + 16G ) Android 11 WIFI + 4G Tablet Bảo Hành 12 Tháng,https://www.lazada.vn/products/pdp-i2541145396.html,1.250.000 ₫,,
Máy tính bảng cho trẻ em chống sốc 7 inch TEKKIN TI-868 cpu 4 nhân ram 4gb bộ nhớ 32gb,https://www.lazada.vn/products/pdp-i2675037525.html,999.000 ₫,5.0,12 Đã bán
"Máy tính bảng Samsung Galaxy Tab A9+ (wifi) 4GB 64GB - trọng lượng 480g, camera sắc nét, hiệu năng ổn định",https://www.lazada.vn/products/pdp-i2623269895.html,3.844.637 ₫,5.0,24 Đã bán
"Máy tính bảng Samsung Galaxy Tab A9 (Wifi) 4GB/64GB - Thiết kế mỏng nhẹ, màn hình 8.7 inch, ram 8GB",https://www.lazada.vn/products/pdp-i2623387170.html,2.990.000 ₫,5.0,10 Đã bán
Máy tính bảng cho trẻ chống sốc 10.1 inch TEKKIN TI-8010 cpu 4 nhân ram 4gb bộ nhớ 64gb,https://www.lazada.vn/products/pdp-i2674971494.html,1.599.000 ₫,5.0,
"Máy tính bảng mới V62 mỏng nhẹ, RAM 16GB+ROM 512GB, bộ nhớ siêu cao, camera ba 24MP và 48MP chất lượng cao, pin 15000mAh với thời gian sử dụng lâu, hệ điều hành Android 15, chip Snapdragon 888, hỗ trợ 4G/5G, WiFi, Bluetooth cho học tập, làm việc và xem",https://www.lazada.vn/products/pdp-i3195175026.html,1.400.000 ₫,,
Máy tính bảng Samsung Tab T295 Ram 2GB bộ nhớ 32GB Android 11 máy qua sự dụng zin đẹp 99% full chức năng kèm phụ kiện,https://www.lazada.vn/products/pdp-i3173108126.html,899.910 ₫,5.0,
Máy tính bảng Samsung Galaxy Tab A9+ Wi-Fi,https://www.lazada.vn/products/pdp-i2497827874.html,4.933.243 ₫,5.0,6 Đã bán
"Máy Tính Bảng Samsung Galaxy Tab S6 Lite - Hàng Chính Hãng, Nguyên Seal Mới 100%",https://www.lazada.vn/products/pdp-i1700803684.html,6.390.000 ₫,,
NEWSEAL 100% | Máy tính bảng Amazon Kindle Fire HD10 13th 2023 chính hãng nhập khẩu USA - Bảo hành 12 tháng,https://www.lazada.vn/products/pdp-i1648270487.html,3.390.000 ₫,5.0,14 Đã bán
"Máy tính bảng Fujitsu Arrows Tab Q509 N4100, 8gb ram, 128gb SSD màn 10.1” Full HD cảm ứng phụ kiện full tuỳ chọn hang nhập khẩu Nhật Bản qua sử dụng",https://www.lazada.vn/products/pdp-i3178420203.html,1.800.000 ₫,,
Máy Tính Bảng Lenovo Xiaoxin Pad Pro ( 2022 ) 8/128gb & 6/128GB mới Nguyên seal Snapdragon 870 Màn Oled 2.5K 120HZ | Playmobile,https://www.lazada.vn/products/pdp-i1625797795.html,5.990.000 ₫,4.0,127 Đã bán
Mtb Masstel Tab 10A (10.1in/3gb/32gb) giá 1.290k-- ---Full VAT--,https://www.lazada.vn/products/pdp-i3107739642.html,1.290.000 ₫,,
Máy tính bảng Xiaomi Redmi Pad 2 (6GB/128GB) - Bảo hành 18 tháng,https://www.lazada.vn/products/pdp-i3141392746.html,5.489.000 ₫,,
Máy tình bảng samsung giá rẽ,https://www.lazada.vn/products/pdp-i2370970756.html,2.200.000 ₫,5.0,
Máy tính bảng Xiaomi Pad 7 (8+128GB) | Màn hình 11.2'' 3.2K 144Hz tăng hiệu suất | Snapdragon 7+ Gen3 | HyperAI | Pin 8850mAh,https://www.lazada.vn/products/pdp-i3002957265.html,8.693.000 ₫,5.0,16 Đã bán
Máy tính bảng Samsung Galaxy Tab A9+ 5G (X216) - 64GB Ram 4GB và 128GB Ram 8GB,https://www.lazada.vn/products/pdp-i2497862821.html,5.922.363 ₫,,
"Máy tính bảng Redmi Pad (3+64GB) | Màn hình LCD IPS 10.61"" 90Hz 2K | MediaTek Helio G99 | Pin 8000 mAh Sạc nhanh 18W",https://www.lazada.vn/products/pdp-i2041376747.html,6.490.000 ₫,5.0,36 Đã bán
Máy tính bảng Redmi Pad SE 8.7 Wifi (4+128GB) | LCD 90Hz | MediaTek Helio G85 8 | Pin 6650mAh,https://www.lazada.vn/products/pdp-i2748467509.html,2.890.000 ₫,5.0,11 Đã bán
Máy tính bảng 10.1 inch TEKKIN A3 2 SIM 2 sóng nghe gọi cpu 8 nhân ram 12gb bộ nhớ 128gb tặng bao da,https://www.lazada.vn/products/pdp-i2794444419.html,2.499.000 ₫,,
Máy Tính Bảng Samsung Galaxy Tab S6 Lite 2022 (4GB/64GB) - Hàng Chính Hãng,https://www.lazada.vn/products/pdp-i2413438812.html,6.800.000 ₫,,
Máy tính bảng Surface Go 1 màn 10 inch 1800x1200p - Intel 4415Y,https://www.lazada.vn/products/pdp-i2489605861.html,1.988.000 ₫,5.0,
"[SALE BRAND DAY - TỪ 20H 30.10] Máy tính bảng Galaxy Tab S10 Lite, Tính Năng AI Tiên Tiến, S Pen đa nhiệm, Màn hình lớn 10.9""",https://www.lazada.vn/products/pdp-i3184430685.html,8.989.000 ₫,,32 Đã bán
"Lenovo Xiaoxin Pad Pro 12.7, Chip MediaTek Dimensity 8300, Màn Hình 12.7inches 144Hz, Ram 8GB/128G, Pin 10200mAh",https://www.lazada.vn/products/pdp-i3207721054.html,6.121.000 ₫,,
Máy Tính Bảng Xiaomi Redmi Pad SE Wifi 6GB 128GB Chính Hãng BH 18 Tháng,https://www.lazada.vn/products/pdp-i3206828504.html,6.000.000 ₫,,
Máy tính bảng OPPO PAD 11 inch Snaρdragon 870 rom tiếng Việt kèm sạc 33W likenew,https://www.lazada.vn/products/pdp-i3036190503.html,5.499.000 ₫,,
Máy tính bảng Samsung Galaxy Tab A9+ Wi-Fi 4GB/64GB,https://www.lazada.vn/products/pdp-i2634318913.html,4.180.000 ₫,5.0,33 Đã bán
Máy tính bảng Samsung tab T295 Ram 2GB bộ nhớ 32GB Android 11 sim 4G máy đẹp 99,https://www.lazada.vn/products/pdp-i2569458961.html,899.910 ₫,5.0,8 Đã bán
máy tinh bảng hp pro tablet 10 ee g1 mới 85%,https://www.lazada.vn/products/pdp-i3180729472.html,1.450.000 ₫,,
