title,url,price,rating,shop
"Điện thoại thông minh POCO C75 (6+128GB | 8+256GB) | Màn hình 6,88"" | Pin 5160mAh | Camera kép 50MP AI",https://www.lazada.vn/products/pdp-i3218897360.html,2.840.000 ₫,5.0,
"Điện thoại thông minh REDMI Note 14 Pro+ 5G (8+256GB) | Màn hình 6.67"" | Snap 7S Gen 3 | Camera AI 200MP",https://www.lazada.vn/products/pdp-i3216375050.html,8.720.000 ₫,5.0,
iPhone 17 Pro Max - Hàng Chính Hãng VN/A,https://www.lazada.vn/products/pdp-i3179765981.html,39.990.000 ₫,5.0,
"Điện thoại bền chắc Oukitel WP22 (HĐH Android 13 Pin 10000mAh, 8GB + 256GB, Helio P90 Camera 48MP, Màn hình 6,58 inch)",https://www.lazada.vn/products/pdp-i3226971018.html,693.000 ₫,,
"Điện thoại siêu phẩm mi Mi 15 Utra Cấu hình mạnh, cày game nặng siêu mượt (16+512GB) | Màn hình 6.73 bảo hành 12 tháng",https://www.lazada.vn/products/pdp-i3226959032.html,1.050.000 ₫,,
iPhone 16 Pro Max - Hàng Chính Hãng VN/A,https://www.lazada.vn/products/pdp-i2792189799.html,32.290.000 ₫,5.0,
iPhone 15 - Hàng Chính Hãng VN/A,https://www.lazada.vn/products/pdp-i2417259469.html,16.390.000 ₫,5.0,
"Điện thoại siêu phẩm SS_ A72 5G (8GB/256GB) hàng chính hãng mới 100%, Bảo hành chính hãng 12 tháng trên toàn quốc",https://www.lazada.vn/products/pdp-i3226761810.html,574.000 ₫,,
"Điện thoại SS 24ut máy 2sim mới 100% ram 12G/512G Hàng Chính Hãng, bảo hành 12 tháng",https://www.lazada.vn/products/pdp-i3226447952.html,840.000 ₫,,
"Điện thoại siêu phẩm SS_ A55 5G (8Gb/128GB)-hàng chính hãng mới 100%, Bảo hành chính hãng 12 tháng.trên toàn quốc",https://www.lazada.vn/products/pdp-i3226965025.html,665.000 ₫,,
