title,url,price,rating,shop
laptop đời cao i5 ko lên nguồn,https://www.lazada.vn/products/pdp-i3058707851.html,399.999 ₫,5.0,
"Thanh lý Laptop Acer 722, Cpu core 2 duo, ram 2G, ô cứng 320G, Màn 12 inh"", giá 1,5 triệu",https://www.lazada.vn/products/pdp-i2539681715.html,1.000.000 ₫,5.0,5 Đã bán
laptop toshiba z35 cực mạnh - i5 6200U U Ram 16GB SSD 256G,https://www.lazada.vn/products/pdp-i2590786738.html,2.900.000 ₫,4.0,210 Đã bán
Laptop Dell Latitude 7270 CPU I5 Gen 6 Ram 8Gb SSD 256Gb Màn hình 12.5Inch HD BH Dài Hạn,https://www.lazada.vn/products/pdp-i2968549891.html,3.990.000 ₫,,
Máy Tính Xách Tay Laptop Samsung Galaxy Chromebook Go XE310XDA N4500/4GB/32GB/ChromeOS - Hàng Chính Hãng,https://www.lazada.vn/products/pdp-i2835015376.html,4.990.000 ₫,5.0,10 Đã bán
laptop Toshiba Z930 siêu mỏng - i5 3337u Ram 10GB SSD 256G,https://www.lazada.vn/products/pdp-i1926374288.html,2.599.000 ₫,4.0,170 Đã bán
"Laptop 2 trong 1 kiêm máy tính bảng Fujitsu Arrows Q507 Atom X5-Z8550, 4gb Ram 128gb SSD, màn 10.1inch Full HD cảm ứng",https://www.lazada.vn/products/pdp-i1070358366.html,1.350.000 ₫,4.0,106 Đã bán
asus factory laptop Mini 100% mới 14.1 Inch intel J4105 RAM 6GB SSD 256GB máy tính xách tay Windows 10 Pro & MS Office Notebook Lenovo factory Bảo hành 3 năm,https://www.lazada.vn/products/pdp-i2420326077.html,6.899.998 ₫,4.0,44 Đã bán
CHUWI | Máy Tính Xách Tay Intel Thế Hệ 12 Màn Hình Lớn 15.6 Inch,https://www.lazada.vn/products/pdp-i3197161309.html,6.251.000 ₫,4.0,
Laptop Lenovo Thinkpad X1 Carbon Gen 7/ GEN 6 / GEN 5/ Core i7 / Core i5 / 14 FHD SIÊU MỎNG - SIÊU NHANH - HÀNG CHÍNH HÃNG,https://www.lazada.vn/products/pdp-i1983102364.html,4.399.000 ₫,4.0,236 Đã bán
"Laptop Asus X44H core i3 - thanh lý - giải trí, văn phòng",https://www.lazada.vn/products/pdp-i3190757292.html,1.200.000 ₫,,
LaptopLENOVO THINKPAD X1 Carbon Gen 7 X1 Carbon Gen 6 X1 Carbon Gen 5 X1 Carbon X1 Carbon Gen 4 Core i5-8250U RAM 16GB SSD 512GB 14 inPin&gt;4h,https://www.lazada.vn/products/pdp-i2241051870.html,4.988.500 ₫,5.0,160 Đã bán
"CHUWI | Laptop Gaming Mỏng Nhẹ Cao Cấp Intel Core Thế Hệ 12, 6 Nhân 8 Luồng, 14 inch 2K",https://www.lazada.vn/products/pdp-i3197230140.html,9.452.000 ₫,4.0,
CHUWI | Máy Tính Xách Tay 2-trong-1 Màn Hình Cảm Ứng 2K Intel Thế Hệ 12,https://www.lazada.vn/products/pdp-i3197128340.html,8.599.000 ₫,4.0,
Laptop To-shi-ba core i5 Ổ Cứng Ssd 128Gb Windows 11 bảo hành 1 năm,https://www.lazada.vn/products/pdp-i2070656319.html,3.990.000 ₫,,
Laptop HP Elitebook 840 G7 Core i5-10210U ram 16 SSD 512 14 inch Full HD Nhôm nguyên khối,https://www.lazada.vn/products/pdp-i3229568633.html,7.450.000 ₫,,
Laptop xách tay Giá rẻ DELL LATITUDE E5250 I5-5300U / RAM 4GB / SSD 128GB / MÀN 12.5 LED / VGA INTEL HD GRAPHIC 5500 pin 70%,https://www.lazada.vn/products/pdp-i2298303645.html,5.000.000 ₫,,
laptop cũ dell giá rẻ,https://www.lazada.vn/products/pdp-i1625249468.html,1.850.000 ₫,,
Laptop Lenovo 4G Ssd 128Gb Học Tập Làm Việc Giải Trí Bảo Hành 1 Năm,https://www.lazada.vn/products/pdp-i3061369131.html,2.000.000 ₫,,
