title,url,price,rating,shop
"Thanh lý smart Tivi LG chính hãng 43inch siêu bền, ngoại hình đẹp 98%",https://www.lazada.vn/products/pdp-i2588404973.html,2.950.000 ₫,4.0,37 Đã bán
"Android Tivi Sony 43 inch bắt wifi,youtobe cực nhanh",https://www.lazada.vn/products/pdp-i2322449637.html,3.550.000 ₫,4.0,62 Đã bán
"Smart TV 32inch Samsung chính hãng wifi siêu nhanh,mượt",https://www.lazada.vn/products/pdp-i2221536710.html,2.350.000 ₫,4.0,113 Đã bán
[MIỄN PHÍ VẬN CHUYỂN] Smart Tivi Samsung HD H5000 Smart TV 32 Inch,https://www.lazada.vn/products/pdp-i3064063966.html,3.831.000 ₫,5.0,51 Đã bán
【QLED】43-40-32inch - Smart Google TV TCL V5C - Tấm nền HVA - Tần số quét 60Hz - Dolby Atmos - Bảo Hành 2 Năm - Hàng Chính Hãng,https://www.lazada.vn/products/pdp-i3105893464.html,4.345.000 ₫,4.0,152 Đã bán
[LẮP 0Đ HCM/HN] Google Tivi Casper 43 inch - Full HD - 43FGK610 - Chính hãng - Bảo hành 2 năm,https://www.lazada.vn/products/pdp-i2911536589.html,4.790.000 ₫,4.0,30 Đã bán
[TV Mới] Xiaomi TV A Pro 55'' 2026 | Màn hình QLED 4K độ sáng cao với công nghệ làm mượt chuyển động | Tần số quét 120Hz khi bật chế độ Game Boost qua HDMI | Bề mặt kim loại bắt mắt với thiết kế khung viền siêu mỏng,https://www.lazada.vn/products/pdp-i3092345102.html,9.300.000 ₫,5.0,Cam Kết Giá Tốt
[TV Mới-Độc quyền online] Xiaomi TV A 43'' 2026(UHD) | Màn hình bảo vệ mắt 4K với chất lượng hình ảnh HDR | MEMC cho trải nghiệm xem mượt mà | Bề mặt kim loại bắt mắt với thiết kế khung viền siêu mỏng,https://www.lazada.vn/products/pdp-i3092393290.html,5.990.000 ₫,,"10 Đã bán
Bình Dương"
[MIỄN PHÍ VẬN CHUYỂN] Smart Tivi SAMSUNG Crystal UHD DU7000 4K 43 Inch Tizen OS (2024),https://www.lazada.vn/products/pdp-i2653122562.html,6.090.000 ₫,5.0,51 Đã bán
【UHD 4K】55inch - Smart Google TV TCL 55T66 - Tần số quét 60Hz - Dolby Atmos - TV Bán Chạy - Bảo Hành 2 Năm - Hàng Chính Hãng,https://www.lazada.vn/products/pdp-i1933199122.html,7.310.000 ₫,4.0,Cam Kết Giá Tốt
Google Tivi Xiaomi A Pro QLED HD 32 inch L32MB-APSEA - GIAO TOÀN QUỐC - CHỈ MIỄN PHÍ HCM,https://www.lazada.vn/products/pdp-i3085662311.html,3.979.000 ₫,,
40Q5S - Smart Tivi QLED Hisense Full HD 40 Inch 40Q5S - BẢO HÀNH CHÍNH HÃNG - MIỄN PHÍ GIAO HCM,https://www.lazada.vn/products/pdp-i3194832975.html,5.269.000 ₫,,
"Smart Tivi Hisense 40 inch FHD 40A4Q, Giao hàng toàn quốc, Bảo hành 2 năm",https://www.lazada.vn/products/pdp-i3179972939.html,4.990.000 ₫,,
Smart Tivi Coex 43'' 43FH6000HK FHD tích hợp tính năng Karaoke,https://www.lazada.vn/products/pdp-i2903937450.html,5.490.000 ₫,,
Google Tivi QLED Aqua 4K 43 inch AQT43S800UX - Hàng chính hãng mới 100%,https://www.lazada.vn/products/pdp-i1880845694.html,7.088.000 ₫,,
[LẮP 0Đ HCM/HN] Google Tivi Casper 32inch 32HGK610 - HD Màn hình tràn viền - Chính hãng - Bảo hành 2 năm,https://www.lazada.vn/products/pdp-i2911516658.html,4.090.000 ₫,,
Tivi Samsung LS32H5000 32 Inch - Bảo hành chính hãng 24 tháng,https://www.lazada.vn/products/pdp-i3230368773.html,5.600.000 ₫,,
