title,url,price,rating,shop
"CHUWI | Máy Tính Xách Tay Gaming Mỏng Nhẹ Hiệu Suất Cao Intel Core Thế Hệ 12, 6 Nhân 8 Luồng, 14 inch 2K",https://www.lazada.vn/products/pdp-i3197230140.html,9.469.000 ₫,4.0,
laptop i3 siêu đẹp,https://www.lazada.vn/products/pdp-i1160774992.html,1.299.999 ₫,2.0,
Laptop Lenovo ThinkBook 16 G8 IRL 21SH0093VA | Core 5 210H | 16GB | 512GSSD | 16″ WUXGA | NoOS | Arctic Grey | Hàng chính hãng,https://www.lazada.vn/products/pdp-i3187380521.html,19.999.000 ₫,,
MacBook Air 2020 13.3 inches M1- Hàng Chính Hãng,https://www.lazada.vn/products/pdp-i1040858590.html,18.390.000 ₫,4.0,
Laptop bỏ túi Onemix GPD 7 inch ram 8GB chip lõi tứ màn hình cảm ứng cực kỳ nhỏ gọn,https://www.lazada.vn/products/pdp-i2138708138.html,6.970.000 ₫,5.0,
Máy Tính Xách Tay Laptop Samsung Galaxy Chromebook Go XE310XDA N4500/4GB/32GB/ChromeOS - Hàng Chính Hãng,https://www.lazada.vn/products/pdp-i2835015376.html,4.990.000 ₫,5.0,
Microsoft Surface Laptop 2 13.5 inch Nhập Khẩu Mỹ/ 2K cảm ứng - Intel Core I5/I7 RAM 8GB/16GB SSD 128/256/512GB Tặng kèm sạc theo máy Chính hãng,https://www.lazada.vn/products/pdp-i2262675911.html,8.090.000 ₫,5.0,
Laptop Dell Latitude 7270 CPU I5 Gen 6 Ram 8Gb SSD 256Gb Màn hình 12.5Inch HD BH Dài Hạn,https://www.lazada.vn/products/pdp-i2968549891.html,250.000 ₫,,
laptop toshiba z35 cực mạnh - i5 6200U U Ram 16GB SSD 256G,https://www.lazada.vn/products/pdp-i2590786738.html,2.900.000 ₫,4.0,
laptop đời cao i5 ko lên nguồn,https://www.lazada.vn/products/pdp-i3058707851.html,399.999 ₫,5.0,
"Xương Máy tính Laptop Thinkpad X1 Cacbon Gen 8 Core i5 8250U, Ram 8, SSD 256, 14inch Full HD",https://www.lazada.vn/products/pdp-i2010022637.html,2.000 ₫,5.0,
Laptop Dell Latitude E5280 màn 12.5 inch - Core i5 7300u 8G 256G SSD,https://www.lazada.vn/products/pdp-i2479684785.html,3.588.000 ₫,4.0,
"Laptop Asus X44H core i3 - thanh lý - giải trí, văn phòng",https://www.lazada.vn/products/pdp-i3190757292.html,1.200.000 ₫,,
Laptop Xách Tay 4G Core i5 BH 9/2025,https://www.lazada.vn/products/pdp-i2784809259.html,2.000.000 ₫,,
MacBook Air M2 13-inch 16GB/256GB - Hàng Chính Hãng,https://www.lazada.vn/products/pdp-i2874118214.html,22.190.000 ₫,5.0,
"Máy tính Laptop Dell Laititude 7490 Core i5, Ram 8, SSD 256, 14inch Full HD",https://www.lazada.vn/products/pdp-i2010015724.html,5.300.000 ₫,5.0,
"Laptop 2 trong 1 kiêm máy tính bảng Fujitsu Arrows Q507 Atom X5-Z8550, 4gb Ram 128gb SSD, màn 10.1inch Full HD cảm ứng",https://www.lazada.vn/products/pdp-i1070358366.html,1.350.000 ₫,4.0,
Laptop MSI Stealth 14 AI Studio A1VFG New | Intel Core Ultra 7 155H | RAM 32GB | 1TB SSD | RTX 4060| 14 Inch 2.8K 120Hz,https://www.lazada.vn/products/pdp-i2629969468.html,52.900.000 ₫,,
"Laptop Asus VivoBook S Flip 14 TP3402 Core i7-12700H, 24gb Ram, 1tb SSD NVME, màn 14inch Full HD cảm ứng gập 360 độ",https://www.lazada.vn/products/pdp-i2262489281.html,8.500.000 ₫,5.0,
asus factory laptop Mini 100% mới 14.1 Inch intel J4105 RAM 6GB SSD 256GB máy tính xách tay Windows 10 Pro & MS Office Notebook Lenovo factory Bảo hành 3 năm,https://www.lazada.vn/products/pdp-i2420326077.html,6.899.998 ₫,4.0,
laptop Toshiba Z930 siêu mỏng - i5 3337u Ram 10GB SSD 256G,https://www.lazada.vn/products/pdp-i1926374288.html,2.599.000 ₫,4.0,
Máy tính laptop cấu hình đời cao chip I3 siêu khoẻ giá ưu đãi trong 7 ngày,https://www.lazada.vn/products/pdp-i2605474115.html,1.399.999 ₫,4.0,
laptop toshiba i7 2630QM/8g/ssd 128g,https://www.lazada.vn/products/pdp-i3211280986.html,1.900.000 ₫,,
"Laptop LG gram 17'', Windows 10 Home, Intel® Core™ i7 Gen11, 16GB, 512GB, 16:10, 17Z90P-G.AH76A5 (có quà tặng)",https://www.lazada.vn/products/pdp-i1445372814.html,50.900.000 ₫,5.0,
Laptop cấu hình cao chip i5 siêu mạnh,https://www.lazada.vn/products/pdp-i2645656444.html,1.599.999 ₫,4.0,
Dell Inspiron 5620 (N5620-I5P165W11SLU) Core i5 _ 1240P | 16GB | 512GB SSD PCIe| 16.0 inch Full HD+ | Win 11 _ Office 2021 | Finger | LED KEY| Hàng Chính Hãng,https://www.lazada.vn/products/pdp-i2055672835.html,18.799.000 ₫,,
Laptop Asus Vivobook Go 14 E1404FA-EB482W (Ryzen 5 7520U/ Onboard graphics/ 16GB/ 512GB/ Windows 11) - Bảo hành 24 tháng,https://www.lazada.vn/products/pdp-i3179770567.html,11.450.000 ₫,5.0,
"Laptop Gaming Acer Nitro 5 AN515-55, Core i5-10300H, Ram 16GB, SSD 512GB, màn hình 15.6inch Full HD 144Hz, VGA RTX 2060, tặng kèm bộ quà tặng laptop",https://www.lazada.vn/products/pdp-i2606809271.html,14.000.000 ₫,5.0,
Laptop Gaming Acer Predator Helios 18 - Core i7-13700HX RAM 16G SSD 512G RTX 4060 8GB Màn 18 Inch FHD 165Hz ( Bảo Hành 3 đến 12 Tháng ),https://www.lazada.vn/products/pdp-i2801988892.html,30.500.000 ₫,5.0,
"Laptop 2 trong 1 NEC Versa Pro VK90 Core M5-6y54, 8gb Ram, 256gb SSD, 12 inch Full HD IPS cảm ứng",https://www.lazada.vn/products/pdp-i1075970335.html,1.500.000 ₫,4.0,
"CHUWI | Máy Tính Xách Tay Intel Thế Hệ 12, Màn Hình Lớn 15.6 Inch",https://www.lazada.vn/products/pdp-i3197161309.html,6.025.000 ₫,4.0,
laptop 11in Stream hàng nhập khẩu giá rẻ cho học sinh full box,https://www.lazada.vn/products/pdp-i252708632.html,1.557.000 ₫,,
Thành lý máy tính sách tay laptop học tập sử dụng văn phòng văn bản giải trí,https://www.lazada.vn/products/pdp-i2273037387.html,1.199.999 ₫,2.0,
Laptop HP Elitebook Folio G1 Core M5-6Y54/8gb Ram/256gb SSD/12.5inch Full HD vỏ nhôm khối siêu mỏng nhẹ,https://www.lazada.vn/products/pdp-i1053478775.html,3.300.000 ₫,,
"Laptop Toshiba R73 Nhật Bản Chính Hãng - Chip Core i5 Thế hệ 7, Ram 8GB, Bộ Nhớ SSD 128GB",https://www.lazada.vn/products/pdp-i2938453768.html,2.750.000 ₫,5.0,
"Laptop HP 4530s i5 , SSD256 siêu bền giá rẻ Giá Thì Ai Củng Mua Được bh 12thang ( Hàng Nhập Khẩu Japan)",https://www.lazada.vn/products/pdp-i251075573.html,1.998.000 ₫,5.0,
[Win 10 + SSD 128gb] - Laptop Asus E200H X205TA win 10 cực mỏng nhẹ học online văn phòng xem phim lướt web,https://www.lazada.vn/products/pdp-i1916214077.html,2.170.000 ₫,5.0,
laptop cũ dell giá rẻ,https://www.lazada.vn/products/pdp-i1625249468.html,1.850.000 ₫,,
LAPTOP xách tay giá rẻ DELL PRECISION 5540 I7 9850H RAM 16gb SSD 512gb,https://www.lazada.vn/products/pdp-i2656655480.html,17.000.000 ₫,,
Laptop văn phòng chiến game nhẹ tốt giá rẻ đời cao,https://www.lazada.vn/products/pdp-i984838169.html,2.550.000 ₫,5.0,
"Laptop Sony Vaio PCG-717 Core i5, 8gb ram, 240gb SSD, 15.6"" HD nhiều máu sắc đẹp",https://www.lazada.vn/products/pdp-i2023789332.html,3.000.000 ₫,5.0,
"Laptop MSI Katana GF76 cấu hình khủng, Core i7-11800H, Ram 16GB, SSD 512GB, màn hình 17.3inch Fulll HD, VGA RTX 3060, tặng kèm bộ quà tặng cao cấp",https://www.lazada.vn/products/pdp-i2605752178.html,18.800.000 ₫,5.0,
"Laptop Microsoft Surface Pro 7 Plus chính hãng Nhập Khẩu Mỹ | Intel Core i5, i7-1135G7 | Kèm phím Chính hãng , tặng kèm sạc | Playmobile",https://www.lazada.vn/products/pdp-i2470809428.html,11.590.000 ₫,,
Laptop cơ bản có WIFI ổ SSD 128GB windows 10 Ram 4G màn hình 14 inch có kèm bộ nguồn hoạt động OK (BH 1 năm),https://www.lazada.vn/products/pdp-i2126990740.html,2.290.000 ₫,5.0,
laptop hp giá rẻ cũ,https://www.lazada.vn/products/pdp-i1939363050.html,1.700.000 ₫,,
