source_platform,product_external_id,product_name,brand,category_lvl1,category_lvl2,category_lvl3,price_current,price_original,discount_percent,rating_avg,review_count,stock_available,store_name,image_url,crawl_time,attributes.spec_cpu,attributes.spec_ram,attributes.spec_storage,attributes.spec_display,attributes.spec_os
Tiki,278726697,Điện thoại Xiaomi 15T 5G (12GB/512GB) - Hàng chính hãng,Xiaomi,,,,13490000,14990000,10.01,0,0,,Long Hưng Official Store,https://salt.tikicdn.com/cache/280x280/ts/product/c4/3b/44/51f0a56fdc0937f37f0bc13703ccb718.jpg,2025-10-15T04:58:27.741034+00:00,,,,,
Tiki,278730376,Máy tính bảng Samsung Galaxy Tab A11 Wifi (4GB/64GB) - Hàng chính hãng,Samsung,,,,3799000,3990000,4.79,0,0,,Long Hưng Official Store,https://salt.tikicdn.com/cache/280x280/ts/product/75/c2/d4/bccec48a91c3dd9b9427be0ca06a51e8.jpg,2025-10-15T04:58:27.800038+00:00,,,,,
Tiki,278749777,Điện thoại Realme C71 (6GB/128GB) - Hàng chính hãng,Realme,,,,4410000,4410000,0.0,0,0,,Long Hưng Official Store,https://salt.tikicdn.com/cache/280x280/ts/product/05/09/d7/4f474eeb7727937ec342c7021d72c1b5.jpg,2025-10-15T04:58:27.942657+00:00,,,,,
Tiki,278729165,Máy tính bảng Samsung Galaxy Tab A11 LTE (4GB/64GB) - Hàng chính hãng,Samsung,,,,5369000,5490000,2.2,0,0,,Long Hưng Official Store,https://salt.tikicdn.com/cache/280x280/ts/product/84/98/06/027898fb79b184eb1d37347a6895bd8d.jpg,2025-10-15T04:58:28.264740+00:00,,,,,
Tiki,278726370,Điện thoại Xiaomi 15T 5G (12GB/256GB) - Hàng chính hãng,Xiaomi,,,,12290000,13990000,12.15,0,0,,Long Hưng Official Store,https://salt.tikicdn.com/cache/280x280/ts/product/59/c3/ed/2b6e340bcd5d4f1721eb8049ffd65eaa.jpg,2025-10-15T04:58:29.174180+00:00,,,,,
Tiki,278726186,Điện thoại Xiaomi 15T Pro 5G (12GB/512GB) - Hàng chính hãng,Xiaomi,,,,17490000,19490000,10.26,0,0,,Long Hưng Official Store,https://salt.tikicdn.com/cache/280x280/ts/product/48/d7/ed/ce9b4531249dfc8e8555be76b605cfd5.jpg,2025-10-15T04:58:29.258944+00:00,,,,,
Tiki,278711036,Điện Thoại Samsung Galaxy A07 - Đã Kích Hoạt Bảo Hành Điện Tử - Hàng Chính Hãng,Samsung,,,,2550000,3090000,17.48,4,1,,Tiki Trading,https://salt.tikicdn.com/cache/280x280/ts/product/a7/b1/60/3fa899d490d38227f31b0d5c787624ec.jpg,2025-10-15T04:58:29.336782+00:00,,,,,
Tiki,278672823,Điện thoại Samsung Galaxy A17 LTE (8GB/128GB) - Hàng chính hãng,Samsung,,,,4849000,5190000,6.57,0,0,,Long Hưng Official Store,https://salt.tikicdn.com/cache/280x280/ts/product/b9/7e/d9/196540985946c0203957f971210129c1.jpg,2025-10-15T04:58:29.830800+00:00,,,,,
Tiki,278642597,Tai nghe Samsung có dây EO-IA500BBEGWW 3.5mm - Hàng Chính Hãng,Samsung,,,,220000,290000,24.14,0,0,,Tiki Trading,https://salt.tikicdn.com/cache/280x280/ts/product/1e/e7/46/90c79b8bde4d3de7fc10eeaf052f083c.png,2025-10-15T04:58:30.536602+00:00,,,,,
Tiki,278635094,Điện thoại Xiaomi Poco C71 (4GB/128GB) - Hàng chính hãng,Xiaomi,,,,2490000,3150000,20.95,0,0,,Long Hưng Official Store,https://salt.tikicdn.com/cache/280x280/ts/product/9f/38/71/092bc643e6229990e8b831c6335196bc.jpg,2025-10-15T04:58:30.679068+00:00,,,,,
Tiki,278665998,Điện Thoại Xiaomi Redmi 15 8GB/128GB - Hàng Chính Hãng,Xiaomi,,,,4599000,5190000,11.39,0,0,,Hồng Hạnh Mobile,https://salt.tikicdn.com/cache/280x280/ts/product/7b/a8/96/70bd7c8b64a4fba46b021000c1bca00c.jpg,2025-10-15T04:58:31.120811+00:00,,,,,
Tiki,278635074,Điện thoại Xiaomi Redmi 13x (6GB/128GB) - Hàng chính hãng,Xiaomi,,,,4290000,4290000,0.0,0,0,,Long Hưng Official Store,https://salt.tikicdn.com/cache/280x280/ts/product/a0/9e/58/b5ab850c656dd3a2346782fab802f3d9.jpg,2025-10-15T04:58:31.301856+00:00,,,,,
Tiki,278628866,Apple iPhone 17 Pro Max ,Apple,,,,43490000,44490000,2.25,5,14,,Tiki Trading,https://salt.tikicdn.com/cache/280x280/ts/product/85/50/d4/92da5535f827912efd1738af616cab42.jpg,2025-10-15T04:58:31.892691+00:00,,,,,
Tiki,278630285,Apple iPhone Air,Apple,,,,29250000,31990000,8.57,5,1,,Tiki Trading,https://salt.tikicdn.com/cache/280x280/ts/product/ef/67/33/79cbb046ea3942e6e9046f172a08573e.jpg,2025-10-15T04:58:31.965593+00:00,,,,,
Tiki,278628812,Apple iPhone 17 Pro ,Apple,,,,34490000,34990000,1.43,5,2,,Tiki Trading,https://salt.tikicdn.com/cache/280x280/ts/product/1d/5d/d1/3110f40a082220366ea047f174a2e837.jpg,2025-10-15T04:58:32.405892+00:00,,,,,
Tiki,278620827,Điện thoại Samsung Galaxy A06 5G - Đã kích hoạt bảo hành điện tử - Hàng chính hãng,Samsung,,,,2390000,3920000,39.03,4.5,18,,Tiki Trading,https://salt.tikicdn.com/cache/280x280/ts/product/ce/dc/3e/05f3bad9ce8b5f364ae224a73144357d.jpg,2025-10-15T04:58:32.955233+00:00,,,,,
Tiki,278618790,Điện thoại POCO C71 (4GB/128GB) - Hàng Chính Hãng,POCO,,,,3150000,3150000,0.0,0,0,,Tiki Trading,https://salt.tikicdn.com/cache/280x280/ts/product/b5/b1/92/46599ee26897df18dd01db672aa7ac74.png,2025-10-15T04:58:33.254206+00:00,,4GB,,,
Tiki,278607963,Điện thoại Oppo A5i (4GB/128GB) - Hàng chính hãng,OPPO,,,,3490000,4490000,22.27,0,0,,Long Hưng Official Store,https://salt.tikicdn.com/cache/280x280/ts/product/9a/4e/cd/6858ca07ae041559bf6142d83432a62a.jpg,2025-10-15T04:58:33.510476+00:00,,,,,
