product_id,product_name,brand,category,subcategory,price_usd,price_vnd,original_price_usd,discount_percentage,rating,review_count,stock_quantity,warranty_months,description,platform_availability,payment_methods,source_platform,availability,data_source,market_focus,language,extracted_at,crawl_timestamp,product_url,main_category
VN_MARKET_000611,Anker Pro,Anker,Electronics,Audio Devices,348.87,8372880,439.82,16.8,3.7,799,172.0,36.0,High-quality audio devices device popular in Vietnamese market,"['Lazada', 'Tiki', 'Shopee']","['ZaloPay', 'Credit_Card', 'MoMo']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Audio
VN_MARKET_000612,Anker Standard,Anker,Electronics,Audio Devices,241.23,5789520,284.92,22.8,4.3,1997,407.0,12.0,High-quality audio devices device popular in Vietnamese market,"['Shopee', 'Sendo']","['ZaloPay', 'COD', 'Bank_Transfer', 'Credit_Card']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Audio
VN_MARKET_000613,Sony Standard,Sony,Electronics,Audio Devices,397.52,9540480,496.45,12.1,4.3,295,449.0,12.0,High-quality audio devices device popular in Vietnamese market,"['Shopee', 'Tiki', 'Lazada', 'Sendo']","['Credit_Card', 'MoMo', 'ZaloPay', 'Bank_Transfer']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Audio
VN_MARKET_000614,Apple AirPods Standard,Apple,Electronics,Audio Devices,324.28,7782720,409.61,17.4,3.7,835,304.0,36.0,High-quality audio devices device popular in Vietnamese market,"['Tiki', 'Sendo']","['Credit_Card', 'MoMo', 'Bank_Transfer']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Audio
VN_MARKET_000615,Samsung Pro,Samsung,Electronics,Audio Devices,371.64,8919360,433.97,10.0,4.9,1771,151.0,12.0,High-quality audio devices device popular in Vietnamese market,"['Shopee', 'Tiki', 'Sendo', 'Lazada']","['Credit_Card', 'MoMo', 'COD', 'ZaloPay', 'Bank_Transfer']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Audio
VN_MARKET_000616,Anker Plus,Anker,Electronics,Audio Devices,89.22,2141280,106.7,20.8,3.8,352,82.0,12.0,High-quality audio devices device popular in Vietnamese market,"['Lazada', 'Tiki']","['Bank_Transfer', 'MoMo', 'COD']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Audio
VN_MARKET_000617,Samsung Standard,Samsung,Electronics,Audio Devices,333.7,8008800,432.75,20.8,4.0,1484,380.0,36.0,High-quality audio devices device popular in Vietnamese market,"['Lazada', 'Sendo', 'Tiki', 'Shopee']","['Credit_Card', 'MoMo', 'COD', 'ZaloPay']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Audio
VN_MARKET_000618,JBL Max,JBL,Electronics,Audio Devices,275.89,6621360,352.69,4.8,4.4,242,277.0,36.0,High-quality audio devices device popular in Vietnamese market,"['Lazada', 'Sendo']","['Credit_Card', 'Bank_Transfer', 'MoMo']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Audio
VN_MARKET_000619,Apple AirPods Max,Apple,Electronics,Audio Devices,170.97,4103280,210.73,4.7,3.7,1620,341.0,36.0,High-quality audio devices device popular in Vietnamese market,"['Lazada', 'Shopee']","['Credit_Card', 'Bank_Transfer', 'COD', 'ZaloPay']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Audio
VN_MARKET_000620,Apple AirPods Plus,Apple,Electronics,Audio Devices,201.79,4842960,247.56,12.5,4.0,970,396.0,36.0,High-quality audio devices device popular in Vietnamese market,"['Sendo', 'Shopee']","['Bank_Transfer', 'MoMo', 'COD', 'Credit_Card', 'ZaloPay']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Audio
