product_id,product_name,category,subcategory,brand,price,cost,discount_percent,stock_quantity,rating,num_reviews,weight_kg,created_date,is_active,created_at
PROD_00000000,Giày 0,Clothing,Giày,Brand_88,1060.41,329.13,37,194,4.1,4424,7.54,2025-03-11,False,2025-09-17 15:09:50.988511
PROD_00000001,Đồ trang trí 1,Home,Đồ trang trí,Brand_20,202.83,99.15,42,202,3.7,2431,2.75,2025-04-23,True,2025-09-17 15:09:50.988545
PROD_00000002,Dụng cụ nhà bếp 2,Home,Dụng cụ nhà bếp,Brand_12,1736.66,742.82,31,546,2.7,2898,1.77,2024-09-01,False,2025-09-17 15:09:50.988590
PROD_00000003,Đồ trang trí 3,Home,Đồ trang trí,Brand_168,1560.31,686.93,6,567,1.2,3316,8.52,2024-03-07,False,2025-09-17 15:09:50.988735
PROD_00000004,Tiểu thuyết 4,Books,Tiểu thuyết,Brand_133,193.69,61.44,49,305,2.0,1708,7.3,2024-05-26,False,2025-09-17 15:09:50.988792
PROD_00000005,Sách kỹ năng 5,Books,Sách kỹ năng,Brand_4,1768.32,630.2,10,733,1.4,3776,0.35,2023-08-13,False,2025-09-17 15:09:50.988822
PROD_00000006,Laptop 6,Electronics,Laptop,Brand_128,885.78,478.76,37,615,2.5,2524,6.84,2025-05-14,True,2025-09-17 15:09:50.988848
PROD_00000007,Laptop 7,Electronics,Laptop,Brand_82,771.76,531.09,34,623,5.0,2721,5.36,2025-01-30,False,2025-09-17 15:09:50.988945
PROD_00000008,Sách học 8,Books,Sách học,Brand_66,1035.48,364.27,10,50,2.3,2212,5.81,2023-12-03,True,2025-09-17 15:09:50.988978
PROD_00000009,Giày 9,Clothing,Giày,Brand_95,741.05,468.35,36,332,3.9,276,4.04,2023-03-05,False,2025-09-17 15:09:50.989009
PROD_00000010,Dụng cụ nhà bếp 10,Home,Dụng cụ nhà bếp,Brand_115,1519.41,723.9,45,102,4.2,130,1.15,2025-07-18,False,2025-09-17 15:09:50.989039
PROD_00000011,Bánh kẹo 11,Food,Bánh kẹo,Brand_152,92.33,41.64,19,595,3.6,1736,9.58,2023-04-24,False,2025-09-17 15:09:50.989065
PROD_00000012,Dụng cụ nhà bếp 12,Home,Dụng cụ nhà bếp,Brand_164,352.42,130.84,4,47,4.8,3207,7.33,2025-02-07,False,2025-09-17 15:09:50.989090
PROD_00000013,Đồ uống 13,Food,Đồ uống,Brand_151,366.57,149.36,28,931,2.0,4708,3.54,2025-06-02,True,2025-09-17 15:09:50.989114
PROD_00000014,Hoa quả 14,Food,Hoa quả,Brand_193,141.32,76.82,19,215,2.5,1793,9.59,2025-05-04,False,2025-09-17 15:09:50.989137
PROD_00000015,Váy 15,Clothing,Váy,Brand_9,1484.16,998.06,4,160,4.9,417,6.66,2023-12-22,True,2025-09-17 15:09:50.989160
PROD_00000016,Dụng cụ nhà bếp 16,Home,Dụng cụ nhà bếp,Brand_31,1548.68,908.6,42,425,2.4,1969,3.17,2024-06-20,False,2025-09-17 15:09:50.989183
PROD_00000017,Thực phẩm khô 17,Food,Thực phẩm khô,Brand_23,1295.16,577.78,36,289,2.9,868,3.36,2023-06-12,False,2025-09-17 15:09:50.989207
PROD_00000018,Thực phẩm khô 18,Food,Thực phẩm khô,Brand_146,1039.51,396.35,1,402,1.6,4714,3.77,2022-10-04,False,2025-09-17 15:09:50.989230
PROD_00000019,Camera 19,Electronics,Camera,Brand_12,52.63,23.46,18,938,4.1,1459,5.82,2024-05-30,True,2025-09-17 15:09:50.989254
PROD_00000020,Thực phẩm khô 20,Food,Thực phẩm khô,Brand_158,934.32,335.65,2,65,3.2,163,0.7,2023-05-06,False,2025-09-17 15:09:50.989279
PROD_00000021,Đồ uống 21,Food,Đồ uống,Brand_103,382.55,223.89,47,766,2.8,1234,2.07,2023-10-04,True,2025-09-17 15:09:50.989318
PROD_00000022,Dụng cụ nhà bếp 22,Home,Dụng cụ nhà bếp,Brand_52,1110.98,390.43,18,156,3.5,1886,8.48,2024-04-27,False,2025-09-17 15:09:50.989352
PROD_00000023,Tablet 23,Electronics,Tablet,Brand_133,135.56,87.5,39,530,3.7,1830,2.89,2023-05-06,True,2025-09-17 15:09:50.989401
PROD_00000024,Sách học 24,Books,Sách học,Brand_20,1700.21,920.86,24,786,3.9,4609,9.87,2023-07-14,False,2025-09-17 15:09:50.989467
PROD_00000025,Laptop 25,Electronics,Laptop,Brand_164,1693.29,967.84,18,848,2.6,2889,7.37,2024-10-08,False,2025-09-17 15:09:50.989498
PROD_00000026,Laptop 26,Electronics,Laptop,Brand_66,1174.04,664.81,30,378,1.5,1232,5.64,2024-03-11,True,2025-09-17 15:09:50.989526
PROD_00000027,Đồ uống 27,Food,Đồ uống,Brand_98,220.9,133.22,47,67,1.8,1108,8.37,2024-12-30,False,2025-09-17 15:09:50.989552
PROD_00000028,Đồ uống 28,Food,Đồ uống,Brand_99,1340.36,771.89,1,670,2.3,3715,5.09,2024-09-15,False,2025-09-17 15:09:50.989578
PROD_00000029,Bánh kẹo 29,Food,Bánh kẹo,Brand_121,1131.28,350.13,40,40,1.8,1865,4.09,2023-04-28,False,2025-09-17 15:09:50.989602
PROD_00000030,Đồ uống 30,Food,Đồ uống,Brand_112,103.33,37.95,33,474,2.3,778,8.98,2025-06-21,False,2025-09-17 15:09:50.989625
PROD_00000031,Tiểu thuyết 31,Books,Tiểu thuyết,Brand_99,589.71,349.53,38,830,4.9,4043,9.61,2024-03-17,True,2025-09-17 15:09:50.989650
PROD_00000032,Bánh kẹo 32,Food,Bánh kẹo,Brand_21,487.11,150.31,6,92,2.2,1725,8.01,2024-11-27,True,2025-09-17 15:09:50.989674
PROD_00000033,Hoa quả 33,Food,Hoa quả,Brand_180,722.66,369.05,11,140,1.6,4834,7.5,2023-01-07,True,2025-09-17 15:09:50.989698
PROD_00000034,Quần jean 34,Clothing,Quần jean,Brand_189,1914.78,613.07,35,55,3.2,3030,9.85,2025-08-14,True,2025-09-17 15:09:50.989721
PROD_00000035,Quần jean 35,Clothing,Quần jean,Brand_86,322.8,128.33,2,368,2.5,3766,2.91,2023-01-03,True,2025-09-17 15:09:50.989744
PROD_00000036,Hoa quả 36,Food,Hoa quả,Brand_185,1629.11,1104.76,12,445,3.9,4647,6.6,2025-03-07,False,2025-09-17 15:09:50.989766
PROD_00000037,Áo khoác 37,Clothing,Áo khoác,Brand_185,1378.44,844.76,12,817,2.3,3759,8.9,2024-07-29,False,2025-09-17 15:09:50.989788
PROD_00000038,Áo thun 38,Clothing,Áo thun,Brand_40,770.63,410.02,24,569,1.1,1372,3.32,2022-12-26,False,2025-09-17 15:09:50.989811
