id,name,brand,category,subcategory,price_usd,price_vnd,original_price_usd,discount_percentage,rating,review_count,stock_quantity,warranty_months,description,platform_availability,payment_methods,source_platform,availability,data_source,market_focus,language,extracted_at,crawl_timestamp,product_url,main_category,source_file,data_category,weight_kg,is_featured,launch_date,vietnam_popularity_score,payment_methods_supported,created_at,target_market,market_size_usd,market_growth_rate,mobile_commerce_penetration,title,price,stock,thumbnail,warranty,shipping,return_policy,minimum_order,source,category_id,category_name,category_image,images,creation_date,update_date
FPTSHOP_2350137c,Xiaomi Product 1659,Xiaomi,Electronics,Desktop Computers,31.08,746000.0,,,4.3,1215.0,,,"Sản phẩm Product 1659 chính hãng, bảo hành 12 tháng",Fptshop,,fptshop,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.255821,2025-10-01 21:15:22.311305,https://fptshop.com/product/81d3b655,Computing,electronics_computing_20251001_213710.csv,computing,,,,,,,,,,,,,,,,,,,,,,,,,
FPTSHOP_f36e7b1b,Apple Product 9447,Apple,Electronics,Desktop Computers,1596.92,38326000.0,2357.0,32.2,3.8,1419.0,,,"Sản phẩm Product 9447 chính hãng, bảo hành 12 tháng",Fptshop,,fptshop,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.255821,2025-10-01 21:15:22.412670,https://fptshop.com/product/30641d2a,Computing,electronics_computing_20251001_213710.csv,computing,,,,,,,,,,,,,,,,,,,,,,,,,
FPTSHOP_66e5417b,OPPO Product 8407,OPPO,Electronics,Desktop Computers,1841.71,44201000.0,,,4.2,1121.0,,,"Sản phẩm Product 8407 chính hãng, bảo hành 12 tháng",Fptshop,,fptshop,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.255821,2025-10-01 21:15:22.523951,https://fptshop.com/product/27aa5055,Computing,electronics_computing_20251001_213710.csv,computing,,,,,,,,,,,,,,,,,,,,,,,,,
FPTSHOP_881d4bed,Asanzo Product 5599,Asanzo,Electronics,Desktop Computers,156.79,3763000.0,201.71,22.3,4.0,101.0,,,"Sản phẩm Product 5599 chính hãng, bảo hành 12 tháng",Fptshop,,fptshop,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.255821,2025-10-01 21:15:22.626178,https://fptshop.com/product/6067ac8c,Computing,electronics_computing_20251001_213710.csv,computing,,,,,,,,,,,,,,,,,,,,,,,,,
FPTSHOP_f41348ce,OPPO Product 3054,OPPO,Electronics,Desktop Computers,902.46,21659000.0,,,4.0,658.0,,,"Sản phẩm Product 3054 chính hãng, bảo hành 12 tháng",Fptshop,,fptshop,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.255821,2025-10-01 21:15:22.734339,https://fptshop.com/product/7c7e2150,Computing,electronics_computing_20251001_213710.csv,computing,,,,,,,,,,,,,,,,,,,,,,,,,
FPTSHOP_8bf42c8f,OPPO Product 1327,OPPO,Electronics,Desktop Computers,1907.88,45789000.0,2763.46,31.0,3.6,473.0,,,"Sản phẩm Product 1327 chính hãng, bảo hành 12 tháng",Fptshop,,fptshop,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.255821,2025-10-01 21:15:22.851077,https://fptshop.com/product/c54fa14a,Computing,electronics_computing_20251001_213710.csv,computing,,,,,,,,,,,,,,,,,,,,,,,,,
FPTSHOP_b0d4f598,Asanzo Product 3832,Asanzo,Electronics,Desktop Computers,1537.08,36890000.0,1990.38,22.8,4.9,819.0,,,"Sản phẩm Product 3832 chính hãng, bảo hành 12 tháng",Fptshop,,fptshop,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.255821,2025-10-01 21:15:22.967774,https://fptshop.com/product/039f67fe,Computing,electronics_computing_20251001_213710.csv,computing,,,,,,,,,,,,,,,,,,,,,,,,,
FPTSHOP_384efaa5,FPT Product 1517,FPT,Electronics,Desktop Computers,1894.04,45457000.0,2779.42,31.9,4.7,1695.0,,,"Sản phẩm Product 1517 chính hãng, bảo hành 12 tháng",Fptshop,,fptshop,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.255821,2025-10-01 21:15:23.068258,https://fptshop.com/product/d6fc469f,Computing,electronics_computing_20251001_213710.csv,computing,,,,,,,,,,,,,,,,,,,,,,,,,
FPTSHOP_12de9e15,Apple Product 8232,Apple,Electronics,Desktop Computers,1297.25,31134000.0,1932.04,32.9,3.9,603.0,,,"Sản phẩm Product 8232 chính hãng, bảo hành 12 tháng",Fptshop,,fptshop,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.255821,2025-10-01 21:15:23.269258,https://fptshop.com/product/363afe06,Computing,electronics_computing_20251001_213710.csv,computing,,,,,,,,,,,,,,,,,,,,,,,,,
FPTSHOP_834df1c7,OPPO Product 6934,OPPO,Electronics,Desktop Computers,421.0,10104000.0,481.88,12.6,4.2,62.0,,,"Sản phẩm Product 6934 chính hãng, bảo hành 12 tháng",Fptshop,,fptshop,False,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.255821,2025-10-01 21:15:23.369988,https://fptshop.com/product/1d88c8f0,Computing,electronics_computing_20251001_213710.csv,computing,,,,,,,,,,,,,,,,,,,,,,,,,
