id,name,brand,category,subcategory,price_usd,price_vnd,original_price_usd,discount_percentage,rating,review_count,stock_quantity,warranty_months,description,platform_availability,payment_methods,source_platform,availability,data_source,market_focus,language,extracted_at,crawl_timestamp,product_url,main_category,source_file,data_category,weight_kg,is_featured,launch_date,vietnam_popularity_score,payment_methods_supported,created_at,target_market,market_size_usd,market_growth_rate,mobile_commerce_penetration,title,price,stock,thumbnail,warranty,shipping,return_policy,minimum_order,source,category_id,category_name,category_image,images,creation_date,update_date
VN_MARKET_000735,Microsoft Xbox Plus,Microsoft,Electronics,Gaming,445.74,10697760.0,552.5,14.0,4.7,582.0,201.0,36.0,High-quality gaming device popular in Vietnamese market,"['Sendo', 'Lazada']","['MoMo', 'Bank_Transfer', 'COD']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,General Electronics,electronics_general_electronics_20251001_213710.csv,general,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000736,Sony PlayStation Pro,Sony,Electronics,Gaming,708.04,16992960.0,821.51,16.0,4.0,1324.0,235.0,12.0,High-quality gaming device popular in Vietnamese market,"['Shopee', 'Tiki', 'Sendo']","['ZaloPay', 'Bank_Transfer', 'MoMo']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,General Electronics,electronics_general_electronics_20251001_213710.csv,general,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000737,Razer Ultra,Razer,Electronics,Gaming,250.29,6006960.0,310.65,4.6,4.2,1481.0,213.0,24.0,High-quality gaming device popular in Vietnamese market,"['Tiki', 'Lazada', 'Sendo', 'Shopee']","['Credit_Card', 'MoMo', 'Bank_Transfer', 'ZaloPay', 'COD']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,General Electronics,electronics_general_electronics_20251001_213710.csv,general,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000739,Sony PlayStation Ultra,Sony,Electronics,Gaming,678.89,16293360.0,753.35,9.8,4.6,727.0,119.0,36.0,High-quality gaming device popular in Vietnamese market,"['Tiki', 'Lazada']","['Bank_Transfer', 'Credit_Card', 'MoMo', 'COD', 'ZaloPay']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,General Electronics,electronics_general_electronics_20251001_213710.csv,general,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000742,Razer Pro,Razer,Electronics,Gaming,382.4,9177600.0,442.08,7.4,4.1,1965.0,339.0,12.0,High-quality gaming device popular in Vietnamese market,"['Shopee', 'Tiki', 'Sendo', 'Lazada']","['ZaloPay', 'MoMo', 'COD']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,General Electronics,electronics_general_electronics_20251001_213710.csv,general,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000743,Sony PlayStation Max,Sony,Electronics,Gaming,553.45,13282800.0,635.58,24.2,4.0,1336.0,497.0,24.0,High-quality gaming device popular in Vietnamese market,"['Sendo', 'Tiki', 'Lazada']","['ZaloPay', 'Bank_Transfer', 'MoMo']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,General Electronics,electronics_general_electronics_20251001_213710.csv,general,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000745,Microsoft Xbox Pro,Microsoft,Electronics,Gaming,204.56,4909440.0,243.32,6.0,4.7,495.0,40.0,36.0,High-quality gaming device popular in Vietnamese market,"['Sendo', 'Shopee', 'Lazada', 'Tiki']","['Credit_Card', 'MoMo', 'COD']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,General Electronics,electronics_general_electronics_20251001_213710.csv,general,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000746,Nintendo Ultra,Nintendo,Electronics,Gaming,553.44,13282560.0,622.8,20.2,3.9,108.0,173.0,24.0,High-quality gaming device popular in Vietnamese market,"['Tiki', 'Shopee', 'Lazada', 'Sendo']","['COD', 'ZaloPay', 'Bank_Transfer', 'Credit_Card']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,General Electronics,electronics_general_electronics_20251001_213710.csv,general,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000747,Razer Standard,Razer,Electronics,Gaming,522.3,12535200.0,588.03,18.3,4.8,1496.0,307.0,36.0,High-quality gaming device popular in Vietnamese market,"['Lazada', 'Tiki']","['COD', 'ZaloPay', 'Bank_Transfer', 'MoMo', 'Credit_Card']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,General Electronics,electronics_general_electronics_20251001_213710.csv,general,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000749,Nintendo Max,Nintendo,Electronics,Gaming,580.63,13935120.0,649.03,2.0,3.8,123.0,444.0,24.0,High-quality gaming device popular in Vietnamese market,"['Shopee', 'Sendo', 'Lazada', 'Tiki']","['COD', 'Credit_Card', 'ZaloPay', 'Bank_Transfer', 'MoMo']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,General Electronics,electronics_general_electronics_20251001_213710.csv,general,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000752,Microsoft Xbox Max,Microsoft,Electronics,Gaming,482.15,11571600.0,574.23,18.4,3.9,527.0,290.0,24.0,High-quality gaming device popular in Vietnamese market,"['Shopee', 'Sendo', 'Lazada', 'Tiki']","['ZaloPay', 'COD', 'MoMo', 'Bank_Transfer']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,General Electronics,electronics_general_electronics_20251001_213710.csv,general,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000755,Nintendo Plus,Nintendo,Electronics,Gaming,410.57,9853680.0,464.89,19.1,4.2,548.0,219.0,36.0,High-quality gaming device popular in Vietnamese market,"['Sendo', 'Lazada', 'Shopee', 'Tiki']","['MoMo', 'COD', 'Credit_Card', 'ZaloPay', 'Bank_Transfer']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,General Electronics,electronics_general_electronics_20251001_213710.csv,general,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000757,Razer Max,Razer,Electronics,Gaming,264.66,6351840.0,299.68,13.8,3.8,614.0,201.0,36.0,High-quality gaming device popular in Vietnamese market,"['Sendo', 'Tiki', 'Shopee', 'Lazada']","['Credit_Card', 'ZaloPay', 'Bank_Transfer']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,General Electronics,electronics_general_electronics_20251001_213710.csv,general,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000758,Microsoft Xbox Ultra,Microsoft,Electronics,Gaming,370.54,8892960.0,474.68,23.3,4.8,961.0,360.0,24.0,High-quality gaming device popular in Vietnamese market,"['Lazada', 'Shopee']","['MoMo', 'ZaloPay', 'Credit_Card']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,General Electronics,electronics_general_electronics_20251001_213710.csv,general,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000762,Nintendo Standard,Nintendo,Electronics,Gaming,477.7,11464800.0,564.0,8.7,4.5,1685.0,441.0,24.0,High-quality gaming device popular in Vietnamese market,"['Sendo', 'Shopee', 'Tiki', 'Lazada']","['MoMo', 'Bank_Transfer', 'ZaloPay']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,General Electronics,electronics_general_electronics_20251001_213710.csv,general,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000763,Razer Plus,Razer,Electronics,Gaming,342.76,8226240.0,434.35,15.8,4.8,368.0,162.0,36.0,High-quality gaming device popular in Vietnamese market,"['Tiki', 'Shopee']","['Bank_Transfer', 'Credit_Card', 'MoMo']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,General Electronics,electronics_general_electronics_20251001_213710.csv,general,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000770,Nintendo Pro,Nintendo,Electronics,Gaming,306.2,7348800.0,343.66,3.6,3.6,677.0,273.0,12.0,High-quality gaming device popular in Vietnamese market,"['Shopee', 'Sendo', 'Tiki']","['Bank_Transfer', 'ZaloPay', 'COD']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,General Electronics,electronics_general_electronics_20251001_213710.csv,general,,,,,,,,,,,,,,,,,,,,,,,,,
