id,name,brand,category,subcategory,price_usd,price_vnd,original_price_usd,discount_percentage,rating,review_count,stock_quantity,warranty_months,description,platform_availability,payment_methods,source_platform,availability,data_source,market_focus,language,extracted_at,crawl_timestamp,product_url,main_category,source_file,data_category,weight_kg,is_featured,launch_date,vietnam_popularity_score,payment_methods_supported,created_at,target_market,market_size_usd,market_growth_rate,mobile_commerce_penetration,title,price,stock,thumbnail,warranty,shipping,return_policy,minimum_order,source,category_id,category_name,category_image,images,creation_date,update_date
CELLPHONES_fe44b799,Vivo Product 2749,Vivo,Electronics,Headphones,66.46,1595000.0,81.88,18.9,4.5,1388.0,,,"Sản phẩm Product 2749 chính hãng, bảo hành 12 tháng",Cellphones,,cellphones,False,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.252384,2025-10-01 21:16:35.750953,https://cellphones.com/product/835a159d,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
CELLPHONES_b775c27d,FPT Product 6289,FPT,Electronics,Headphones,1230.71,29537000.0,,,3.8,1627.0,,,"Sản phẩm Product 6289 chính hãng, bảo hành 12 tháng",Cellphones,,cellphones,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.252384,2025-10-01 21:16:35.871171,https://cellphones.com/product/399d38e1,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
CELLPHONES_d1c020f4,Asanzo Product 3509,Asanzo,Electronics,Headphones,1697.71,40745000.0,2511.33,32.4,4.4,1444.0,,,"Sản phẩm Product 3509 chính hãng, bảo hành 12 tháng",Cellphones,,cellphones,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.252384,2025-10-01 21:16:36.087052,https://cellphones.com/product/a86a0e53,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
CELLPHONES_48378a6d,Asanzo Product 7705,Asanzo,Electronics,Headphones,223.04,5353000.0,261.33,14.6,4.4,681.0,,,"Sản phẩm Product 7705 chính hãng, bảo hành 12 tháng",Cellphones,,cellphones,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.252384,2025-10-01 21:16:36.189449,https://cellphones.com/product/d47d1c70,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
CELLPHONES_1cd44938,FPT Product 8361,FPT,Electronics,Headphones,485.04,11641000.0,604.33,19.7,4.3,1512.0,,,"Sản phẩm Product 8361 chính hãng, bảo hành 12 tháng",Cellphones,,cellphones,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.252384,2025-10-01 21:16:36.294273,https://cellphones.com/product/97433ede,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
CELLPHONES_2686a418,Viettel Product 4321,Viettel,Electronics,Headphones,72.79,1747000.0,106.71,31.8,4.7,946.0,,,"Sản phẩm Product 4321 chính hãng, bảo hành 12 tháng",Cellphones,,cellphones,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.252384,2025-10-01 21:16:36.405404,https://cellphones.com/product/4a7ad520,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
CELLPHONES_e4dfe35e,Realme Product 2355,Realme,Electronics,Headphones,1719.17,41260000.0,2308.5,25.5,3.6,694.0,,,"Sản phẩm Product 2355 chính hãng, bảo hành 12 tháng",Cellphones,,cellphones,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.252384,2025-10-01 21:16:36.509859,https://cellphones.com/product/9639b256,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
CELLPHONES_11e3a60c,Xiaomi Product 8758,Xiaomi,Electronics,Headphones,309.88,7437000.0,385.58,19.6,4.2,1367.0,,,"Sản phẩm Product 8758 chính hãng, bảo hành 12 tháng",Cellphones,,cellphones,False,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.252384,2025-10-01 21:16:36.615243,https://cellphones.com/product/d7b122dd,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
CELLPHONES_4b4cadb6,FPT Product 2580,FPT,Electronics,Headphones,440.54,10573000.0,632.88,30.4,4.8,1981.0,,,"Sản phẩm Product 2580 chính hãng, bảo hành 12 tháng",Cellphones,,cellphones,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.252384,2025-10-01 21:16:36.827677,https://cellphones.com/product/c1437b18,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
CELLPHONES_acae8a74,BKAV Product 4650,BKAV,Electronics,Headphones,1737.54,41701000.0,2455.04,29.2,4.0,1906.0,,,"Sản phẩm Product 4650 chính hãng, bảo hành 12 tháng",Cellphones,,cellphones,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.252384,2025-10-01 21:16:36.935134,https://cellphones.com/product/fe71b68e,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
CELLPHONES_49366c4e,OPPO Product 2061,OPPO,Electronics,Headphones,1775.58,42614000.0,2291.29,22.5,4.2,1175.0,,,"Sản phẩm Product 2061 chính hãng, bảo hành 12 tháng",Cellphones,,cellphones,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.252384,2025-10-01 21:16:37.038083,https://cellphones.com/product/ce6cc45a,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
CELLPHONES_a8249012,Viettel Product 4328,Viettel,Electronics,Headphones,342.25,8214000.0,447.54,23.5,3.8,1915.0,,,"Sản phẩm Product 4328 chính hãng, bảo hành 12 tháng",Cellphones,,cellphones,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.252384,2025-10-01 21:16:37.143604,https://cellphones.com/product/c394ccd0,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
CELLPHONES_f97859da,VinSmart Product 7651,VinSmart,Electronics,Headphones,251.08,6026000.0,,,4.0,925.0,,,"Sản phẩm Product 7651 chính hãng, bảo hành 12 tháng",Cellphones,,cellphones,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.252384,2025-10-01 21:16:37.244615,https://cellphones.com/product/e5a0c554,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
