id,name,brand,category,subcategory,price_usd,price_vnd,original_price_usd,discount_percentage,rating,review_count,stock_quantity,warranty_months,description,platform_availability,payment_methods,source_platform,availability,data_source,market_focus,language,extracted_at,crawl_timestamp,product_url,main_category,source_file,data_category,weight_kg,is_featured,launch_date,vietnam_popularity_score,payment_methods_supported,created_at,target_market,market_size_usd,market_growth_rate,mobile_commerce_penetration,title,price,stock,thumbnail,warranty,shipping,return_policy,minimum_order,source,category_id,category_name,category_image,images,creation_date,update_date
VN_MARKET_000424,Asus Plus,Asus,Electronics,Laptops,1390.42,33370080.0,1628.95,24.5,4.4,302.0,48.0,36.0,High-quality laptops device popular in Vietnamese market,"['Sendo', 'Shopee', 'Lazada']","['Credit_Card', 'COD', 'Bank_Transfer']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing,electronics_computing_20251001_213710.csv,computing,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000425,Asus Ultra,Asus,Electronics,Laptops,455.56,10933440.0,532.95,19.8,4.5,1971.0,123.0,24.0,High-quality laptops device popular in Vietnamese market,"['Lazada', 'Shopee']","['MoMo', 'COD', 'Credit_Card']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing,electronics_computing_20251001_213710.csv,computing,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000426,HP Ultra,HP,Electronics,Laptops,2248.65,53967600.0,2684.83,4.3,4.5,1228.0,135.0,12.0,High-quality laptops device popular in Vietnamese market,"['Shopee', 'Lazada', 'Sendo']","['MoMo', 'COD', 'Credit_Card', 'ZaloPay']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing,electronics_computing_20251001_213710.csv,computing,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000427,Dell Max,Dell,Electronics,Laptops,2085.67,50056080.0,2414.32,7.7,4.8,721.0,450.0,36.0,High-quality laptops device popular in Vietnamese market,"['Lazada', 'Tiki']","['Credit_Card', 'Bank_Transfer', 'ZaloPay', 'MoMo']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing,electronics_computing_20251001_213710.csv,computing,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000428,Acer Ultra,Acer,Electronics,Laptops,1626.94,39046560.0,1904.2,4.3,4.1,1342.0,108.0,36.0,High-quality laptops device popular in Vietnamese market,"['Tiki', 'Sendo', 'Lazada']","['ZaloPay', 'Bank_Transfer', 'COD', 'Credit_Card', 'MoMo']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing,electronics_computing_20251001_213710.csv,computing,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000429,Acer Plus,Acer,Electronics,Laptops,2042.93,49030320.0,2603.06,6.9,4.2,750.0,404.0,24.0,High-quality laptops device popular in Vietnamese market,"['Lazada', 'Shopee', 'Sendo']","['MoMo', 'COD', 'Credit_Card', 'Bank_Transfer']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing,electronics_computing_20251001_213710.csv,computing,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000430,HP Pro,HP,Electronics,Laptops,1661.03,39864720.0,1998.15,22.4,3.9,957.0,14.0,12.0,High-quality laptops device popular in Vietnamese market,"['Lazada', 'Sendo']","['MoMo', 'Credit_Card', 'ZaloPay']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing,electronics_computing_20251001_213710.csv,computing,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000431,Apple MacBook Ultra,Apple,Electronics,Laptops,2390.65,57375600.0,3015.82,20.1,4.5,663.0,101.0,12.0,High-quality laptops device popular in Vietnamese market,"['Shopee', 'Sendo', 'Tiki']","['COD', 'Bank_Transfer', 'Credit_Card', 'ZaloPay', 'MoMo']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing,electronics_computing_20251001_213710.csv,computing,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000433,Apple MacBook Standard,Apple,Electronics,Laptops,2449.89,58797360.0,3084.48,15.2,4.2,345.0,276.0,24.0,High-quality laptops device popular in Vietnamese market,"['Tiki', 'Sendo']","['ZaloPay', 'MoMo', 'COD', 'Credit_Card', 'Bank_Transfer']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing,electronics_computing_20251001_213710.csv,computing,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000435,Lenovo Max,Lenovo,Electronics,Laptops,1953.48,46883520.0,2488.84,22.4,3.6,1048.0,329.0,12.0,High-quality laptops device popular in Vietnamese market,"['Tiki', 'Lazada', 'Sendo', 'Shopee']","['Bank_Transfer', 'ZaloPay', 'MoMo']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing,electronics_computing_20251001_213710.csv,computing,,,,,,,,,,,,,,,,,,,,,,,,,
