id,name,brand,category,subcategory,price_usd,price_vnd,original_price_usd,discount_percentage,rating,review_count,stock_quantity,warranty_months,description,platform_availability,payment_methods,source_platform,availability,data_source,market_focus,language,extracted_at,crawl_timestamp,product_url,main_category,source_file,data_category,weight_kg,is_featured,launch_date,vietnam_popularity_score,payment_methods_supported,created_at,target_market,market_size_usd,market_growth_rate,mobile_commerce_penetration,title,price,stock,thumbnail,warranty,shipping,return_policy,minimum_order,source,category_id,category_name,category_image,images,creation_date,update_date
LAZADA_1dfd814c,BKAV Product 4973,BKAV,Electronics,phones-tablets,30.08,722000.0,,,4.5,713.0,0.0,12.0,"Sản phẩm Product 4973 chính hãng, bảo hành 12 tháng",Online,Multiple,lazada,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
LAZADA_8b6ef3ea,Realme Product 2866,Realme,Electronics,phones-tablets,125.08,3002000.0,181.54,31.1,3.9,605.0,0.0,12.0,"Sản phẩm Product 2866 chính hãng, bảo hành 12 tháng",Online,Multiple,lazada,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
LAZADA_08d835f6,VinSmart Product 3493,VinSmart,Electronics,phones-tablets,86.75,2082000.0,124.62,30.4,4.5,1361.0,0.0,12.0,"Sản phẩm Product 3493 chính hãng, bảo hành 12 tháng",Online,Multiple,lazada,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
LAZADA_13b9fc17,Samsung Product 5827,Samsung,Electronics,phones-tablets,165.25,3966000.0,,,4.0,1225.0,0.0,12.0,"Sản phẩm Product 5827 chính hãng, bảo hành 12 tháng",Online,Multiple,lazada,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
LAZADA_67613612,Realme Product 3050,Realme,Electronics,phones-tablets,60.04,1441000.0,,,3.5,1765.0,0.0,12.0,"Sản phẩm Product 3050 chính hãng, bảo hành 12 tháng",Online,Multiple,lazada,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
LAZADA_1999f35f,FPT Product 8649,FPT,Electronics,phones-tablets,54.46,1307000.0,76.58,28.9,4.9,1727.0,0.0,12.0,"Sản phẩm Product 8649 chính hãng, bảo hành 12 tháng",Online,Multiple,lazada,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
LAZADA_a0b35ba6,FPT Product 3827,FPT,Electronics,phones-tablets,660.12,15843000.0,760.79,13.2,3.7,1952.0,0.0,12.0,"Sản phẩm Product 3827 chính hãng, bảo hành 12 tháng",Online,Multiple,lazada,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
LAZADA_8c6e4ef0,Vivo Product 8803,Vivo,Electronics,phones-tablets,556.17,13348000.0,,,4.3,1631.0,0.0,12.0,"Sản phẩm Product 8803 chính hãng, bảo hành 12 tháng",Online,Multiple,lazada,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
LAZADA_419667d7,Samsung Product 6083,Samsung,Electronics,phones-tablets,369.46,8867000.0,413.08,10.6,4.4,1078.0,0.0,12.0,"Sản phẩm Product 6083 chính hãng, bảo hành 12 tháng",Online,Multiple,lazada,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
LAZADA_2e0fa933,Realme Product 2763,Realme,Electronics,phones-tablets,360.25,8646000.0,,,4.8,1727.0,0.0,12.0,"Sản phẩm Product 2763 chính hãng, bảo hành 12 tháng",Online,Multiple,lazada,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
LAZADA_ba0756a2,Samsung Product 2981,Samsung,Electronics,phones-tablets,534.79,12835000.0,619.04,13.6,5.0,1934.0,0.0,12.0,"Sản phẩm Product 2981 chính hãng, bảo hành 12 tháng",Online,Multiple,lazada,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
LAZADA_9d567c66,FPT Product 2056,FPT,Electronics,phones-tablets,659.58,15830000.0,875.46,24.7,4.9,248.0,0.0,12.0,"Sản phẩm Product 2056 chính hãng, bảo hành 12 tháng",Online,Multiple,lazada,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
LAZADA_d639feed,FPT Product 3723,FPT,Electronics,phones-tablets,34.12,819000.0,45.12,24.4,3.9,279.0,0.0,12.0,"Sản phẩm Product 3723 chính hãng, bảo hành 12 tháng",Online,Multiple,lazada,False,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
LAZADA_dcb4389d,Apple Product 4597,Apple,Electronics,phones-tablets,359.83,8636000.0,499.67,28.0,4.2,328.0,0.0,12.0,"Sản phẩm Product 4597 chính hãng, bảo hành 12 tháng",Online,Multiple,lazada,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
LAZADA_c9252628,Xiaomi Product 2538,Xiaomi,Electronics,phones-tablets,514.0,12336000.0,684.38,24.9,4.8,483.0,0.0,12.0,"Sản phẩm Product 2538 chính hãng, bảo hành 12 tháng",Online,Multiple,lazada,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
LAZADA_11f2d9ee,FPT Product 9159,FPT,Electronics,phones-tablets,223.71,5369000.0,287.17,22.1,4.2,638.0,0.0,12.0,"Sản phẩm Product 9159 chính hãng, bảo hành 12 tháng",Online,Multiple,lazada,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
LAZADA_068f5a8c,Samsung Product 6696,Samsung,Electronics,phones-tablets,456.88,10965000.0,505.54,9.6,4.9,1644.0,0.0,12.0,"Sản phẩm Product 6696 chính hãng, bảo hành 12 tháng",Online,Multiple,lazada,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
LAZADA_9c76b0e0,FPT Product 7318,FPT,Electronics,phones-tablets,985.25,23646000.0,1396.96,29.5,3.8,1550.0,0.0,12.0,"Sản phẩm Product 7318 chính hãng, bảo hành 12 tháng",Online,Multiple,lazada,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
LAZADA_3e7820ba,Apple Product 1155,Apple,Electronics,phones-tablets,628.58,15086000.0,805.96,22.0,3.6,784.0,0.0,12.0,"Sản phẩm Product 1155 chính hãng, bảo hành 12 tháng",Online,Multiple,lazada,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
LAZADA_a91b0be6,BKAV Product 1095,BKAV,Electronics,phones-tablets,260.25,6246000.0,,,4.0,1363.0,0.0,12.0,"Sản phẩm Product 1095 chính hãng, bảo hành 12 tháng",Online,Multiple,lazada,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
LAZADA_cb9184fe,Samsung Product 5379,Samsung,Electronics,phones-tablets,707.71,16985000.0,961.33,26.4,3.8,1867.0,0.0,12.0,"Sản phẩm Product 5379 chính hãng, bảo hành 12 tháng",Online,Multiple,lazada,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
LAZADA_f06658f9,Samsung Product 6684,Samsung,Electronics,phones-tablets,534.67,12832000.0,660.83,19.1,4.6,1934.0,0.0,12.0,"Sản phẩm Product 6684 chính hãng, bảo hành 12 tháng",Online,Multiple,lazada,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
LAZADA_13c0f4cb,FPT Product 7035,FPT,Electronics,phones-tablets,873.71,20969000.0,1223.58,28.6,3.6,1427.0,0.0,12.0,"Sản phẩm Product 7035 chính hãng, bảo hành 12 tháng",Online,Multiple,lazada,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
LAZADA_b84e2cb5,Apple Product 1331,Apple,Electronics,phones-tablets,228.12,5475000.0,273.46,16.6,3.9,718.0,0.0,12.0,"Sản phẩm Product 1331 chính hãng, bảo hành 12 tháng",Online,Multiple,lazada,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
LAZADA_2875ad5b,BKAV Product 3829,BKAV,Electronics,phones-tablets,800.71,19217000.0,966.38,17.1,4.1,1553.0,0.0,12.0,"Sản phẩm Product 3829 chính hãng, bảo hành 12 tháng",Online,Multiple,lazada,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
LAZADA_bc0207b5,Asanzo Product 6843,Asanzo,Electronics,phones-tablets,551.08,13226000.0,635.58,13.3,3.5,840.0,0.0,12.0,"Sản phẩm Product 6843 chính hãng, bảo hành 12 tháng",Online,Multiple,lazada,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
LAZADA_793e026d,FPT Product 8415,FPT,Electronics,phones-tablets,729.5,17508000.0,809.12,9.8,3.7,115.0,0.0,12.0,"Sản phẩm Product 8415 chính hãng, bảo hành 12 tháng",Online,Multiple,lazada,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
