id,name,brand,category,subcategory,price_usd,price_vnd,original_price_usd,discount_percentage,rating,review_count,stock_quantity,warranty_months,description,platform_availability,payment_methods,source_platform,availability,data_source,market_focus,language,extracted_at,crawl_timestamp,product_url,main_category,source_file,data_category,weight_kg,is_featured,launch_date,vietnam_popularity_score,payment_methods_supported,created_at,target_market,market_size_usd,market_growth_rate,mobile_commerce_penetration,title,price,stock,thumbnail,warranty,shipping,return_policy,minimum_order,source,category_id,category_name,category_image,images,creation_date,update_date
VN_MARKET_000001,Apple iPhone Standard,Apple,Electronics,Smartphones,1475.37,35408880.0,1846.35,8.4,3.8,1876.0,225.0,12.0,High-quality smartphones device popular in Vietnamese market,"['Lazada', 'Shopee', 'Sendo']","['COD', 'MoMo', 'ZaloPay', 'Bank_Transfer', 'Credit_Card']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000003,Oppo Standard,Oppo,Electronics,Smartphones,958.93,23014320.0,1060.67,18.3,3.7,1987.0,130.0,36.0,High-quality smartphones device popular in Vietnamese market,"['Lazada', 'Sendo']","['Bank_Transfer', 'COD', 'MoMo', 'Credit_Card']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000004,Xiaomi Ultra,Xiaomi,Electronics,Smartphones,1416.17,33988080.0,1626.51,17.6,4.7,1374.0,47.0,36.0,High-quality smartphones device popular in Vietnamese market,"['Shopee', 'Sendo', 'Tiki']","['Credit_Card', 'MoMo', 'ZaloPay', 'COD', 'Bank_Transfer']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000005,Vivo Ultra,Vivo,Electronics,Smartphones,299.36,7184640.0,336.84,4.6,3.6,204.0,302.0,36.0,High-quality smartphones device popular in Vietnamese market,"['Tiki', 'Lazada', 'Sendo', 'Shopee']","['MoMo', 'Credit_Card', 'Bank_Transfer', 'ZaloPay']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000006,Vivo Pro,Vivo,Electronics,Smartphones,581.24,13949760.0,671.99,14.4,4.1,317.0,53.0,36.0,High-quality smartphones device popular in Vietnamese market,"['Sendo', 'Lazada']","['COD', 'Bank_Transfer', 'Credit_Card']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000008,Vivo Plus,Vivo,Electronics,Smartphones,1476.04,35424960.0,1646.19,14.8,4.6,1280.0,221.0,24.0,High-quality smartphones device popular in Vietnamese market,"['Sendo', 'Lazada', 'Tiki']","['MoMo', 'COD', 'Credit_Card']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000010,Apple iPhone Max,Apple,Electronics,Smartphones,1451.49,34835760.0,1712.83,14.7,3.5,1013.0,466.0,36.0,High-quality smartphones device popular in Vietnamese market,"['Tiki', 'Sendo', 'Shopee', 'Lazada']","['ZaloPay', 'COD', 'Bank_Transfer', 'Credit_Card', 'MoMo']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000011,Xiaomi Plus,Xiaomi,Electronics,Smartphones,483.52,11604480.0,571.21,3.0,3.8,1590.0,34.0,12.0,High-quality smartphones device popular in Vietnamese market,"['Lazada', 'Shopee']","['Credit_Card', 'Bank_Transfer', 'MoMo', 'ZaloPay']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000013,Realme Pro,Realme,Electronics,Smartphones,362.12,8690880.0,405.74,15.9,3.7,393.0,323.0,36.0,High-quality smartphones device popular in Vietnamese market,"['Tiki', 'Lazada', 'Shopee', 'Sendo']","['Credit_Card', 'Bank_Transfer', 'MoMo']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000014,Apple iPhone Plus,Apple,Electronics,Smartphones,688.88,16533120.0,850.9,18.0,4.0,863.0,301.0,12.0,High-quality smartphones device popular in Vietnamese market,"['Sendo', 'Lazada']","['COD', 'Bank_Transfer', 'ZaloPay', 'MoMo']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000016,Oppo Pro,Oppo,Electronics,Smartphones,1351.29,32430960.0,1681.15,14.4,4.0,686.0,235.0,24.0,High-quality smartphones device popular in Vietnamese market,"['Lazada', 'Shopee', 'Sendo', 'Tiki']","['ZaloPay', 'Bank_Transfer', 'COD']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000018,Oppo Ultra,Oppo,Electronics,Smartphones,167.35,4016400.0,211.27,7.7,4.3,360.0,386.0,36.0,High-quality smartphones device popular in Vietnamese market,"['Tiki', 'Lazada']","['Credit_Card', 'COD', 'ZaloPay']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000019,Xiaomi Max,Xiaomi,Electronics,Smartphones,478.23,11477520.0,583.91,19.8,3.7,142.0,357.0,12.0,High-quality smartphones device popular in Vietnamese market,"['Lazada', 'Sendo', 'Tiki']","['MoMo', 'ZaloPay', 'Bank_Transfer', 'COD', 'Credit_Card']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000020,Realme Max,Realme,Electronics,Smartphones,226.99,5447760.0,291.0,17.2,4.9,1704.0,354.0,24.0,High-quality smartphones device popular in Vietnamese market,"['Shopee', 'Lazada', 'Tiki']","['COD', 'MoMo', 'Credit_Card']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000022,Realme Ultra,Realme,Electronics,Smartphones,592.1,14210400.0,766.63,0.9,3.5,628.0,6.0,12.0,High-quality smartphones device popular in Vietnamese market,"['Lazada', 'Sendo']","['ZaloPay', 'Credit_Card', 'Bank_Transfer']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000026,Samsung Galaxy Standard,Samsung,Electronics,Smartphones,1363.32,32719680.0,1566.1,24.6,4.2,214.0,187.0,36.0,High-quality smartphones device popular in Vietnamese market,"['Sendo', 'Lazada', 'Tiki', 'Shopee']","['ZaloPay', 'Bank_Transfer', 'COD', 'Credit_Card', 'MoMo']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000028,Samsung Galaxy Plus,Samsung,Electronics,Smartphones,1308.57,31405680.0,1549.58,19.7,3.8,912.0,129.0,36.0,High-quality smartphones device popular in Vietnamese market,"['Sendo', 'Shopee']","['Bank_Transfer', 'MoMo', 'COD']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices,electronics_mobile_devices_20251001_213710.csv,mobile_devices,,,,,,,,,,,,,,,,,,,,,,,,,
