id,name,brand,category,subcategory,price_usd,price_vnd,original_price_usd,discount_percentage,rating,review_count,stock_quantity,warranty_months,description,platform_availability,payment_methods,source_platform,availability,data_source,market_focus,language,extracted_at,crawl_timestamp,product_url,main_category,source_file,data_category,weight_kg,is_featured,launch_date,vietnam_popularity_score,payment_methods_supported,created_at,target_market,market_size_usd,market_growth_rate,mobile_commerce_penetration,title,price,stock,thumbnail,warranty,shipping,return_policy,minimum_order,source,category_id,category_name,category_image,images,creation_date,update_date
VN_MARKET_000833,Apple Watch Standard,Apple,Electronics,Wearables,448.08,10753920.0,511.13,23.2,4.3,225.0,477.0,24.0,High-quality wearables device popular in Vietnamese market,"['Shopee', 'Lazada', 'Sendo', 'Tiki']","['COD', 'ZaloPay', 'MoMo', 'Bank_Transfer', 'Credit_Card']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,General Electronics,electronics_general_electronics_20251001_213710.csv,general,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000834,Apple Watch Plus,Apple,Electronics,Wearables,316.83,7603920.0,367.64,3.6,3.8,696.0,341.0,12.0,High-quality wearables device popular in Vietnamese market,"['Sendo', 'Tiki', 'Lazada']","['ZaloPay', 'MoMo', 'COD', 'Credit_Card']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,General Electronics,electronics_general_electronics_20251001_213710.csv,general,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000836,Samsung Galaxy Watch Ultra,Samsung,Electronics,Wearables,333.36,8000640.0,422.93,9.3,4.8,1113.0,467.0,36.0,High-quality wearables device popular in Vietnamese market,"['Lazada', 'Tiki', 'Sendo']","['Credit_Card', 'COD', 'ZaloPay']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,General Electronics,electronics_general_electronics_20251001_213710.csv,general,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000839,Fitbit Ultra,Fitbit,Electronics,Wearables,125.1,3002400.0,142.23,22.0,4.4,752.0,245.0,24.0,High-quality wearables device popular in Vietnamese market,"['Tiki', 'Sendo', 'Lazada', 'Shopee']","['Credit_Card', 'ZaloPay', 'Bank_Transfer']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,General Electronics,electronics_general_electronics_20251001_213710.csv,general,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000841,Samsung Galaxy Watch Standard,Samsung,Electronics,Wearables,346.3,8311200.0,400.83,15.2,4.0,1086.0,178.0,36.0,High-quality wearables device popular in Vietnamese market,"['Shopee', 'Lazada']","['Bank_Transfer', 'Credit_Card', 'COD', 'ZaloPay']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,General Electronics,electronics_general_electronics_20251001_213710.csv,general,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000843,Samsung Galaxy Watch Max,Samsung,Electronics,Wearables,162.37,3896880.0,186.42,18.6,4.0,977.0,194.0,24.0,High-quality wearables device popular in Vietnamese market,"['Sendo', 'Lazada', 'Tiki']","['ZaloPay', 'Credit_Card', 'Bank_Transfer', 'COD', 'MoMo']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,General Electronics,electronics_general_electronics_20251001_213710.csv,general,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000845,Fitbit Plus,Fitbit,Electronics,Wearables,191.33,4591920.0,240.72,16.5,4.1,1040.0,474.0,24.0,High-quality wearables device popular in Vietnamese market,"['Sendo', 'Shopee']","['MoMo', 'Credit_Card', 'COD', 'ZaloPay']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,General Electronics,electronics_general_electronics_20251001_213710.csv,general,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000846,Apple Watch Ultra,Apple,Electronics,Wearables,463.7,11128800.0,567.09,4.2,4.1,264.0,117.0,12.0,High-quality wearables device popular in Vietnamese market,"['Sendo', 'Shopee', 'Tiki']","['Bank_Transfer', 'MoMo', 'ZaloPay', 'COD']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,General Electronics,electronics_general_electronics_20251001_213710.csv,general,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000850,Samsung Galaxy Watch Plus,Samsung,Electronics,Wearables,409.15,9819600.0,462.64,15.1,4.5,1223.0,351.0,36.0,High-quality wearables device popular in Vietnamese market,"['Lazada', 'Sendo', 'Tiki', 'Shopee']","['COD', 'Credit_Card', 'ZaloPay', 'Bank_Transfer']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,General Electronics,electronics_general_electronics_20251001_213710.csv,general,,,,,,,,,,,,,,,,,,,,,,,,,
VN_MARKET_000851,Apple Watch Pro,Apple,Electronics,Wearables,58.46,1403040.0,67.6,1.1,4.2,34.0,386.0,12.0,High-quality wearables device popular in Vietnamese market,"['Tiki', 'Sendo', 'Shopee']","['Bank_Transfer', 'Credit_Card', 'COD', 'ZaloPay']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,General Electronics,electronics_general_electronics_20251001_213710.csv,general,,,,,,,,,,,,,,,,,,,,,,,,,
