product_id,name,price,original_price,discount_percent,category,brand,rating,review_count,seller,description,images,specifications,availability,shipping_info,platform,crawl_timestamp,url
FPTSHOP_9f20bde4,VinSmart Product 1007,26012000.0,38849000.0,33.0,dien-thoai,VinSmart,4.9,201,Shop Uy tín,"Sản phẩm Product 1007 chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_23489481.jpg'],"{'brand': 'VinSmart', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Vàng'}",True,"{'free_shipping': False, 'fast_delivery': False, 'location': 'Đà Nẵng'}",fptshop,2025-10-01 21:15:05.047881,https://fptshop.com/product/2ec09496
FPTSHOP_5ce32d53,Asanzo Product 9627,32436000.0,45521000.0,28.7,dien-thoai,Asanzo,3.8,1738,Shop FPT,"Sản phẩm Product 9627 chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_bbd131dc.jpg'],"{'brand': 'Asanzo', 'warranty': '12 tháng', 'origin': 'Import', 'color': 'Trắng'}",True,"{'free_shipping': True, 'fast_delivery': False, 'location': 'Đà Nẵng'}",fptshop,2025-10-01 21:15:05.154960,https://fptshop.com/product/c77761e8
FPTSHOP_c005d060,VinSmart Product 7563,37266000.0,50617000.0,26.4,dien-thoai,VinSmart,4.2,1461,Shop FPT,"Sản phẩm Product 7563 chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_6597e93d.jpg'],"{'brand': 'VinSmart', 'warranty': '12 tháng', 'origin': 'Import', 'color': 'Xanh'}",True,"{'free_shipping': False, 'fast_delivery': False, 'location': 'TP.HCM'}",fptshop,2025-10-01 21:15:05.256934,https://fptshop.com/product/c2bcebe7
FPTSHOP_7318e56b,Xiaomi Product 3727,12981000.0,18024000.0,28.0,dien-thoai,Xiaomi,4.3,1515,Shop FPT,"Sản phẩm Product 3727 chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_f019fde5.jpg'],"{'brand': 'Xiaomi', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Đen'}",True,"{'free_shipping': True, 'fast_delivery': False, 'location': 'Đà Nẵng'}",fptshop,2025-10-01 21:15:05.358057,https://fptshop.com/product/f5165dad
FPTSHOP_0a013df1,Samsung Product 8796,35078000.0,,,dien-thoai,Samsung,4.7,299,Shop CellphoneS,"Sản phẩm Product 8796 chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_0140a12f.jpg'],"{'brand': 'Samsung', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Đen'}",True,"{'free_shipping': True, 'fast_delivery': False, 'location': 'Đà Nẵng'}",fptshop,2025-10-01 21:15:05.462943,https://fptshop.com/product/969361eb
FPTSHOP_493e65f2,Xiaomi Product 6819,1149000.0,,,dien-thoai,Xiaomi,4.3,1771,Shop Uy tín,"Sản phẩm Product 6819 chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_85745b40.jpg'],"{'brand': 'Xiaomi', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Đỏ'}",True,"{'free_shipping': True, 'fast_delivery': True, 'location': 'TP.HCM'}",fptshop,2025-10-01 21:15:05.565020,https://fptshop.com/product/83cca4a9
FPTSHOP_1b2b2dd6,BKAV Product 9244,43890000.0,56497000.0,22.3,dien-thoai,BKAV,3.6,401,Shop FPT,"Sản phẩm Product 9244 chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_832e9aef.jpg'],"{'brand': 'BKAV', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Xanh'}",True,"{'free_shipping': False, 'fast_delivery': True, 'location': 'Hà Nội'}",fptshop,2025-10-01 21:15:05.666954,https://fptshop.com/product/3827285e
FPTSHOP_29a83da6,Viettel Product 8519,48595000.0,,,dien-thoai,Viettel,4.7,904,Shop Chính hãng,"Sản phẩm Product 8519 chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_813e509c.jpg'],"{'brand': 'Viettel', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Trắng'}",True,"{'free_shipping': True, 'fast_delivery': False, 'location': 'Hà Nội'}",fptshop,2025-10-01 21:15:05.768149,https://fptshop.com/product/ac559113
FPTSHOP_925e03b2,BKAV Product 4215,30547000.0,,,dien-thoai,BKAV,4.3,1487,Shop CellphoneS,"Sản phẩm Product 4215 chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_bea0a1de.jpg'],"{'brand': 'BKAV', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Xanh'}",True,"{'free_shipping': True, 'fast_delivery': False, 'location': 'TP.HCM'}",fptshop,2025-10-01 21:15:05.876129,https://fptshop.com/product/ecfc81a6
FPTSHOP_1adb1ffa,Samsung Product 6674,11109000.0,13184000.0,15.7,dien-thoai,Samsung,4.3,532,Shop CellphoneS,"Sản phẩm Product 6674 chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_a5169c64.jpg'],"{'brand': 'Samsung', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Trắng'}",True,"{'free_shipping': False, 'fast_delivery': False, 'location': 'Hà Nội'}",fptshop,2025-10-01 21:15:05.982649,https://fptshop.com/product/7131b72d
FPTSHOP_e4f0cb31,Xiaomi Product 3338,46030000.0,50719000.0,9.2,dien-thoai,Xiaomi,4.5,835,Shop FPT,"Sản phẩm Product 3338 chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_507b59fa.jpg'],"{'brand': 'Xiaomi', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Xanh'}",False,"{'free_shipping': True, 'fast_delivery': False, 'location': 'TP.HCM'}",fptshop,2025-10-01 21:15:06.090067,https://fptshop.com/product/fd0f2d5b
FPTSHOP_665a329b,Xiaomi Product 4370,1957000.0,,,dien-thoai,Xiaomi,4.7,235,Shop Uy tín,"Sản phẩm Product 4370 chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_8555a111.jpg'],"{'brand': 'Xiaomi', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Đen'}",True,"{'free_shipping': True, 'fast_delivery': True, 'location': 'Hà Nội'}",fptshop,2025-10-01 21:15:06.199523,https://fptshop.com/product/2f5e859d
FPTSHOP_02ef3bf0,Viettel Asus ROG Strix,24690000.0,30816000.0,19.9,laptop,Viettel,4.6,341,Shop FPT,"Sản phẩm Asus ROG Strix chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_2681ed0f.jpg'],"{'brand': 'Viettel', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Trắng'}",True,"{'free_shipping': True, 'fast_delivery': True, 'location': 'Hà Nội'}",fptshop,2025-10-01 21:15:07.513217,https://fptshop.com/product/eab63917
FPTSHOP_ca5e4207,Realme HP Spectre x360,527000.0,678000.0,22.2,laptop,Realme,4.9,1391,Shop FPT,"Sản phẩm HP Spectre x360 chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_76b2c0fc.jpg'],"{'brand': 'Realme', 'warranty': '12 tháng', 'origin': 'Import', 'color': 'Vàng'}",True,"{'free_shipping': True, 'fast_delivery': True, 'location': 'Hà Nội'}",fptshop,2025-10-01 21:15:07.614493,https://fptshop.com/product/ac77f0ef
FPTSHOP_359f3017,Apple Dell XPS 13,26660000.0,,,laptop,Apple,4.0,1908,Shop Chính hãng,"Sản phẩm Dell XPS 13 chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_a4c40d4c.jpg'],"{'brand': 'Apple', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Đen'}",True,"{'free_shipping': True, 'fast_delivery': True, 'location': 'Hà Nội'}",fptshop,2025-10-01 21:15:07.717366,https://fptshop.com/product/550bf3b2
FPTSHOP_e3cdea60,Samsung Acer Predator Helios,34066000.0,,,laptop,Samsung,4.4,997,Shop Chính hãng,"Sản phẩm Acer Predator Helios chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_f0d3cbcd.jpg'],"{'brand': 'Samsung', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Đỏ'}",True,"{'free_shipping': False, 'fast_delivery': False, 'location': 'Đà Nẵng'}",fptshop,2025-10-01 21:15:07.818016,https://fptshop.com/product/253265f2
FPTSHOP_afc1cf4d,Samsung MacBook Pro M3,21139000.0,31511000.0,32.9,laptop,Samsung,4.6,313,Shop Uy tín,"Sản phẩm MacBook Pro M3 chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_3f541f93.jpg'],"{'brand': 'Samsung', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Trắng'}",True,"{'free_shipping': False, 'fast_delivery': False, 'location': 'Đà Nẵng'}",fptshop,2025-10-01 21:15:07.922948,https://fptshop.com/product/ef792d5e
FPTSHOP_d8f6ea87,Vivo Asus ROG Strix,7601000.0,10919000.0,30.4,laptop,Vivo,4.8,1426,Shop Chính hãng,"Sản phẩm Asus ROG Strix chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_b3fbae22.jpg'],"{'brand': 'Vivo', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Đỏ'}",True,"{'free_shipping': True, 'fast_delivery': True, 'location': 'Hà Nội'}",fptshop,2025-10-01 21:15:08.023311,https://fptshop.com/product/8adde392
FPTSHOP_415218e0,OPPO Acer Predator Helios,49047000.0,60090000.0,18.4,laptop,OPPO,3.9,1439,Shop Chính hãng,"Sản phẩm Acer Predator Helios chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_6da358e1.jpg'],"{'brand': 'OPPO', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Vàng'}",True,"{'free_shipping': True, 'fast_delivery': True, 'location': 'Hà Nội'}",fptshop,2025-10-01 21:15:08.131279,https://fptshop.com/product/e7f27d49
FPTSHOP_e9bd0c82,VinSmart Acer Predator Helios,42725000.0,62522000.0,31.7,laptop,VinSmart,4.4,1723,Shop CellphoneS,"Sản phẩm Acer Predator Helios chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_0d439204.jpg'],"{'brand': 'VinSmart', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Xanh'}",True,"{'free_shipping': True, 'fast_delivery': True, 'location': 'Hà Nội'}",fptshop,2025-10-01 21:15:08.234240,https://fptshop.com/product/a9bd6d67
FPTSHOP_7dc59268,Samsung Asus ROG Strix,37041000.0,53110000.0,30.3,laptop,Samsung,4.0,672,Shop Uy tín,"Sản phẩm Asus ROG Strix chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_ef514d54.jpg'],"{'brand': 'Samsung', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Đen'}",True,"{'free_shipping': True, 'fast_delivery': False, 'location': 'TP.HCM'}",fptshop,2025-10-01 21:15:08.340971,https://fptshop.com/product/8521241b
FPTSHOP_86a02af7,Samsung Lenovo ThinkPad X1,24345000.0,,,laptop,Samsung,3.6,1946,Shop CellphoneS,"Sản phẩm Lenovo ThinkPad X1 chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_dbbcb89d.jpg'],"{'brand': 'Samsung', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Trắng'}",True,"{'free_shipping': False, 'fast_delivery': False, 'location': 'Hà Nội'}",fptshop,2025-10-01 21:15:08.449947,https://fptshop.com/product/be988997
FPTSHOP_c44f39ae,FPT Dell XPS 13,5578000.0,6561000.0,15.0,laptop,FPT,4.1,859,Shop Uy tín,"Sản phẩm Dell XPS 13 chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_0e675f4b.jpg'],"{'brand': 'FPT', 'warranty': '12 tháng', 'origin': 'Import', 'color': 'Đỏ'}",False,"{'free_shipping': True, 'fast_delivery': True, 'location': 'TP.HCM'}",fptshop,2025-10-01 21:15:08.550960,https://fptshop.com/product/dad5dc6c
FPTSHOP_74b496ba,VinSmart Lenovo ThinkPad X1,9992000.0,14758000.0,32.3,laptop,VinSmart,4.7,1715,Shop Uy tín,"Sản phẩm Lenovo ThinkPad X1 chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_b7e89228.jpg'],"{'brand': 'VinSmart', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Vàng'}",False,"{'free_shipping': True, 'fast_delivery': False, 'location': 'Đà Nẵng'}",fptshop,2025-10-01 21:15:08.652286,https://fptshop.com/product/4e355905
FPTSHOP_10565115,Xiaomi iPad Pro M2,23608000.0,26594000.0,11.2,tablet,Xiaomi,3.8,77,Shop CellphoneS,"Sản phẩm iPad Pro M2 chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_cf40e832.jpg'],"{'brand': 'Xiaomi', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Đen'}",True,"{'free_shipping': True, 'fast_delivery': False, 'location': 'TP.HCM'}",fptshop,2025-10-01 21:15:09.954628,https://fptshop.com/product/28ad3114
