product_id,name,price,original_price,discount_percent,category,brand,rating,review_count,seller,description,images,specifications,availability,shipping_info,platform,crawl_timestamp,url
TIKI_fda79954,Realme Product 3213,18727000.0,,,dien-thoai-may-tinh-bang,Realme,4.5,620,Shop Chính hãng,"Sản phẩm Product 3213 chính hãng, bảo hành 12 tháng",['https://tiki.com/images/product_da1496ce.jpg'],"{'brand': 'Realme', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Xanh'}",True,"{'free_shipping': True, 'fast_delivery': False, 'location': 'TP.HCM'}",tiki,2025-10-01 21:17:36.368867,https://tiki.com/product/067cc6e3
TIKI_0bf287b0,Asanzo Product 7594,9554000.0,12501000.0,23.6,dien-thoai-may-tinh-bang,Asanzo,4.4,1247,Shop FPT,"Sản phẩm Product 7594 chính hãng, bảo hành 12 tháng",['https://tiki.com/images/product_a32dc6dd.jpg'],"{'brand': 'Asanzo', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Đen'}",True,"{'free_shipping': False, 'fast_delivery': False, 'location': 'Đà Nẵng'}",tiki,2025-10-01 21:17:36.470342,https://tiki.com/product/96caba12
TIKI_603b1db1,Realme Product 4314,33771000.0,48595000.0,30.5,dien-thoai-may-tinh-bang,Realme,4.9,974,Shop FPT,"Sản phẩm Product 4314 chính hãng, bảo hành 12 tháng",['https://tiki.com/images/product_b6ab9de3.jpg'],"{'brand': 'Realme', 'warranty': '12 tháng', 'origin': 'Import', 'color': 'Vàng'}",True,"{'free_shipping': True, 'fast_delivery': True, 'location': 'TP.HCM'}",tiki,2025-10-01 21:17:36.575732,https://tiki.com/product/a9b21fe9
TIKI_2937f6cc,BKAV Product 7206,25252000.0,35931000.0,29.7,dien-thoai-may-tinh-bang,BKAV,3.5,310,Shop CellphoneS,"Sản phẩm Product 7206 chính hãng, bảo hành 12 tháng",['https://tiki.com/images/product_2736d7f0.jpg'],"{'brand': 'BKAV', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Đỏ'}",True,"{'free_shipping': True, 'fast_delivery': False, 'location': 'Đà Nẵng'}",tiki,2025-10-01 21:17:36.676384,https://tiki.com/product/d3de72f3
TIKI_60d9bc41,Samsung Product 5919,19988000.0,25143000.0,20.5,dien-thoai-may-tinh-bang,Samsung,4.5,1802,Shop FPT,"Sản phẩm Product 5919 chính hãng, bảo hành 12 tháng",['https://tiki.com/images/product_89f1b0d1.jpg'],"{'brand': 'Samsung', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Vàng'}",True,"{'free_shipping': True, 'fast_delivery': False, 'location': 'Đà Nẵng'}",tiki,2025-10-01 21:17:36.781760,https://tiki.com/product/0d94f75c
TIKI_eae1f495,FPT Product 7217,8755000.0,11105000.0,21.2,dien-thoai-may-tinh-bang,FPT,4.4,1615,Shop CellphoneS,"Sản phẩm Product 7217 chính hãng, bảo hành 12 tháng",['https://tiki.com/images/product_0a8d6adc.jpg'],"{'brand': 'FPT', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Trắng'}",True,"{'free_shipping': True, 'fast_delivery': True, 'location': 'Hà Nội'}",tiki,2025-10-01 21:17:36.886497,https://tiki.com/product/b46ba59d
TIKI_1973ea9c,Asanzo Product 2038,5351000.0,,,dien-thoai-may-tinh-bang,Asanzo,4.7,788,Shop CellphoneS,"Sản phẩm Product 2038 chính hãng, bảo hành 12 tháng",['https://tiki.com/images/product_e2fcd76f.jpg'],"{'brand': 'Asanzo', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Đỏ'}",True,"{'free_shipping': False, 'fast_delivery': True, 'location': 'Đà Nẵng'}",tiki,2025-10-01 21:17:36.995677,https://tiki.com/product/6b061403
TIKI_ae0a80c8,FPT Product 1653,19946000.0,22859000.0,12.7,dien-thoai-may-tinh-bang,FPT,4.4,222,Shop Uy tín,"Sản phẩm Product 1653 chính hãng, bảo hành 12 tháng",['https://tiki.com/images/product_facfe105.jpg'],"{'brand': 'FPT', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Đen'}",True,"{'free_shipping': False, 'fast_delivery': False, 'location': 'TP.HCM'}",tiki,2025-10-01 21:17:37.099895,https://tiki.com/product/13c64f11
TIKI_de0136a7,Realme Product 9993,4552000.0,,,dien-thoai-may-tinh-bang,Realme,3.9,907,Shop Chính hãng,"Sản phẩm Product 9993 chính hãng, bảo hành 12 tháng",['https://tiki.com/images/product_af875856.jpg'],"{'brand': 'Realme', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Vàng'}",True,"{'free_shipping': True, 'fast_delivery': False, 'location': 'TP.HCM'}",tiki,2025-10-01 21:17:37.204088,https://tiki.com/product/398f8670
TIKI_cd4a6159,Vivo Product 3358,17255000.0,,,dien-thoai-may-tinh-bang,Vivo,3.9,942,Shop FPT,"Sản phẩm Product 3358 chính hãng, bảo hành 12 tháng",['https://tiki.com/images/product_90294391.jpg'],"{'brand': 'Vivo', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Đỏ'}",True,"{'free_shipping': False, 'fast_delivery': True, 'location': 'Đà Nẵng'}",tiki,2025-10-01 21:17:37.306547,https://tiki.com/product/41d84c80
