product_id,product_name,brand,category,subcategory,price_usd,price_vnd,original_price_usd,discount_percentage,rating,review_count,stock_quantity,warranty_months,description,platform_availability,payment_methods,source_platform,availability,data_source,market_focus,language,extracted_at,crawl_timestamp,product_url,main_category
VN_MARKET_000424,Asus Plus,Asus,Electronics,Laptops,1390.42,33370080,1628.95,24.5,4.4,302,48.0,36.0,High-quality laptops device popular in Vietnamese market,"['Sendo', 'Shopee', 'Lazada']","['Credit_Card', 'COD', 'Bank_Transfer']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing
VN_MARKET_000425,Asus Ultra,Asus,Electronics,Laptops,455.56,10933440,532.95,19.8,4.5,1971,123.0,24.0,High-quality laptops device popular in Vietnamese market,"['Lazada', 'Shopee']","['MoMo', 'COD', 'Credit_Card']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing
VN_MARKET_000426,HP Ultra,HP,Electronics,Laptops,2248.65,53967600,2684.83,4.3,4.5,1228,135.0,12.0,High-quality laptops device popular in Vietnamese market,"['Shopee', 'Lazada', 'Sendo']","['MoMo', 'COD', 'Credit_Card', 'ZaloPay']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing
VN_MARKET_000427,Dell Max,Dell,Electronics,Laptops,2085.67,50056080,2414.32,7.7,4.8,721,450.0,36.0,High-quality laptops device popular in Vietnamese market,"['Lazada', 'Tiki']","['Credit_Card', 'Bank_Transfer', 'ZaloPay', 'MoMo']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing
VN_MARKET_000428,Acer Ultra,Acer,Electronics,Laptops,1626.94,39046560,1904.2,4.3,4.1,1342,108.0,36.0,High-quality laptops device popular in Vietnamese market,"['Tiki', 'Sendo', 'Lazada']","['ZaloPay', 'Bank_Transfer', 'COD', 'Credit_Card', 'MoMo']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing
VN_MARKET_000429,Acer Plus,Acer,Electronics,Laptops,2042.93,49030320,2603.06,6.9,4.2,750,404.0,24.0,High-quality laptops device popular in Vietnamese market,"['Lazada', 'Shopee', 'Sendo']","['MoMo', 'COD', 'Credit_Card', 'Bank_Transfer']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing
VN_MARKET_000430,HP Pro,HP,Electronics,Laptops,1661.03,39864720,1998.15,22.4,3.9,957,14.0,12.0,High-quality laptops device popular in Vietnamese market,"['Lazada', 'Sendo']","['MoMo', 'Credit_Card', 'ZaloPay']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing
VN_MARKET_000431,Apple MacBook Ultra,Apple,Electronics,Laptops,2390.65,57375600,3015.82,20.1,4.5,663,101.0,12.0,High-quality laptops device popular in Vietnamese market,"['Shopee', 'Sendo', 'Tiki']","['COD', 'Bank_Transfer', 'Credit_Card', 'ZaloPay', 'MoMo']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing
VN_MARKET_000433,Apple MacBook Standard,Apple,Electronics,Laptops,2449.89,58797360,3084.48,15.2,4.2,345,276.0,24.0,High-quality laptops device popular in Vietnamese market,"['Tiki', 'Sendo']","['ZaloPay', 'MoMo', 'COD', 'Credit_Card', 'Bank_Transfer']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing
VN_MARKET_000435,Lenovo Max,Lenovo,Electronics,Laptops,1953.48,46883520,2488.84,22.4,3.6,1048,329.0,12.0,High-quality laptops device popular in Vietnamese market,"['Tiki', 'Lazada', 'Sendo', 'Shopee']","['Bank_Transfer', 'ZaloPay', 'MoMo']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing
VN_MARKET_000437,Dell Plus,Dell,Electronics,Laptops,1173.33,28159920,1460.5,20.6,3.8,1733,306.0,12.0,High-quality laptops device popular in Vietnamese market,"['Shopee', 'Tiki', 'Sendo']","['COD', 'Credit_Card', 'Bank_Transfer']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing
VN_MARKET_000438,Lenovo Plus,Lenovo,Electronics,Laptops,1216.18,29188320,1473.25,8.1,4.8,380,385.0,24.0,High-quality laptops device popular in Vietnamese market,"['Lazada', 'Shopee', 'Tiki']","['COD', 'ZaloPay', 'Credit_Card', 'Bank_Transfer', 'MoMo']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing
VN_MARKET_000440,Lenovo Standard,Lenovo,Electronics,Laptops,2092.77,50226480,2545.52,9.2,4.4,764,208.0,24.0,High-quality laptops device popular in Vietnamese market,"['Sendo', 'Tiki', 'Shopee']","['Credit_Card', 'Bank_Transfer', 'ZaloPay', 'COD', 'MoMo']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing
VN_MARKET_000441,HP Plus,HP,Electronics,Laptops,537.0,12888000,660.42,21.3,3.5,1786,48.0,24.0,High-quality laptops device popular in Vietnamese market,"['Tiki', 'Sendo', 'Lazada']","['Bank_Transfer', 'Credit_Card', 'MoMo', 'COD']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing
VN_MARKET_000442,Acer Max,Acer,Electronics,Laptops,576.26,13830240,652.4,5.8,4.2,1240,86.0,12.0,High-quality laptops device popular in Vietnamese market,"['Lazada', 'Tiki', 'Sendo', 'Shopee']","['ZaloPay', 'COD', 'Bank_Transfer', 'Credit_Card', 'MoMo']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing
