product_id,product_name,brand,category,subcategory,price_usd,price_vnd,original_price_usd,discount_percentage,rating,review_count,stock_quantity,warranty_months,description,platform_availability,payment_methods,source_platform,availability,data_source,market_focus,language,extracted_at,crawl_timestamp,product_url,main_category
VN_MARKET_000001,Apple iPhone Standard,Apple,Electronics,Smartphones,1475.37,35408880,1846.35,8.4,3.8,1876,225.0,12.0,High-quality smartphones device popular in Vietnamese market,"['Lazada', 'Shopee', 'Sendo']","['COD', 'MoMo', 'ZaloPay', 'Bank_Transfer', 'Credit_Card']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices
VN_MARKET_000003,Oppo Standard,Oppo,Electronics,Smartphones,958.93,23014320,1060.67,18.3,3.7,1987,130.0,36.0,High-quality smartphones device popular in Vietnamese market,"['Lazada', 'Sendo']","['Bank_Transfer', 'COD', 'MoMo', 'Credit_Card']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices
VN_MARKET_000004,Xiaomi Ultra,Xiaomi,Electronics,Smartphones,1416.17,33988080,1626.51,17.6,4.7,1374,47.0,36.0,High-quality smartphones device popular in Vietnamese market,"['Shopee', 'Sendo', 'Tiki']","['Credit_Card', 'MoMo', 'ZaloPay', 'COD', 'Bank_Transfer']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices
VN_MARKET_000005,Vivo Ultra,Vivo,Electronics,Smartphones,299.36,7184640,336.84,4.6,3.6,204,302.0,36.0,High-quality smartphones device popular in Vietnamese market,"['Tiki', 'Lazada', 'Sendo', 'Shopee']","['MoMo', 'Credit_Card', 'Bank_Transfer', 'ZaloPay']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices
VN_MARKET_000006,Vivo Pro,Vivo,Electronics,Smartphones,581.24,13949760,671.99,14.4,4.1,317,53.0,36.0,High-quality smartphones device popular in Vietnamese market,"['Sendo', 'Lazada']","['COD', 'Bank_Transfer', 'Credit_Card']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices
VN_MARKET_000008,Vivo Plus,Vivo,Electronics,Smartphones,1476.04,35424960,1646.19,14.8,4.6,1280,221.0,24.0,High-quality smartphones device popular in Vietnamese market,"['Sendo', 'Lazada', 'Tiki']","['MoMo', 'COD', 'Credit_Card']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices
VN_MARKET_000010,Apple iPhone Max,Apple,Electronics,Smartphones,1451.49,34835760,1712.83,14.7,3.5,1013,466.0,36.0,High-quality smartphones device popular in Vietnamese market,"['Tiki', 'Sendo', 'Shopee', 'Lazada']","['ZaloPay', 'COD', 'Bank_Transfer', 'Credit_Card', 'MoMo']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices
VN_MARKET_000011,Xiaomi Plus,Xiaomi,Electronics,Smartphones,483.52,11604480,571.21,3.0,3.8,1590,34.0,12.0,High-quality smartphones device popular in Vietnamese market,"['Lazada', 'Shopee']","['Credit_Card', 'Bank_Transfer', 'MoMo', 'ZaloPay']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices
VN_MARKET_000013,Realme Pro,Realme,Electronics,Smartphones,362.12,8690880,405.74,15.9,3.7,393,323.0,36.0,High-quality smartphones device popular in Vietnamese market,"['Tiki', 'Lazada', 'Shopee', 'Sendo']","['Credit_Card', 'Bank_Transfer', 'MoMo']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices
VN_MARKET_000014,Apple iPhone Plus,Apple,Electronics,Smartphones,688.88,16533120,850.9,18.0,4.0,863,301.0,12.0,High-quality smartphones device popular in Vietnamese market,"['Sendo', 'Lazada']","['COD', 'Bank_Transfer', 'ZaloPay', 'MoMo']",Consolidated,True,Vietnam_Market_Analysis,Vietnam,English,2025-10-01T21:37:10.247183,,,Mobile Devices
