transaction_id,customer_id,transaction_date,product_category,product_name,quantity,unit_price,total_amount,currency,payment_method,payment_status,shipping_cost,tax_amount,discount_amount,order_source,customer_segment,source,extracted_at
TXN_20251001_000000,CUST_00000568,2025-07-30T21:55:24.572630,Computing,Electronics Product 4087,3,321.23,1021.13,USD,Cash,Pending,32.58,77.1,52.24,Web,VIP,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.572673
TXN_20251001_000001,VN_CUST_000644,2025-05-11T21:55:24.572687,Electronics,Electronics Product 5114,1,1200.78,1258.71,USD,Cash,Pending,9.07,96.06,47.2,Web,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.572698
TXN_20251001_000002,VN_CUST_000742,2025-09-01T21:55:24.572705,Mobile,Electronics Product 3963,2,1809.17,3941.89,USD,Cash,Pending,41.48,289.47,7.4,Store,High_Value,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.572713
TXN_20251001_000003,CUST_00000974,2025-06-27T21:55:24.572718,Electronics,Electronics Product 1450,4,717.14,3076.29,USD,Credit Card,Failed,26.41,229.48,48.16,Web,VIP,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.572725
TXN_20251001_000004,CUST_00000398,2025-02-13T21:55:24.572730,Audio,Electronics Product 4565,4,506.82,2137.12,USD,Credit Card,Pending,34.98,162.18,87.32,Store,Occasional,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.572736
TXN_20251001_000005,CUST_00000403,2025-07-10T21:55:24.572742,Gaming,Electronics Product 9119,5,1953.08,10487.11,USD,Credit Card,Completed,14.95,781.23,74.47,Store,Occasional,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.572750
TXN_20251001_000006,VN_CUST_000884,2025-04-06T21:55:24.572755,Computing,Electronics Product 9277,4,468.93,2040.92,USD,PayPal,Pending,19.79,150.06,4.65,Web,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.572761
TXN_20251001_000007,VN_CUST_000992,2024-12-20T21:55:24.572765,Mobile,Electronics Product 2074,4,1171.88,5056.74,USD,Bank Transfer,Completed,39.19,375.0,44.97,Phone,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.572779
TXN_20251001_000008,CUST_00000015,2025-02-01T21:55:24.572785,Gaming,Electronics Product 7405,2,945.69,1987.78,USD,Credit Card,Completed,24.49,151.31,79.4,Phone,VIP,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.572791
TXN_20251001_000009,CUST_00000092,2025-03-22T21:55:24.572796,Electronics,Electronics Product 8794,1,1132.7,1162.46,USD,Credit Card,Completed,31.02,90.62,91.88,Mobile App,VIP,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.572801
TXN_20251001_000010,CUST_00000239,2024-10-06T21:55:24.572807,Mobile,Electronics Product 4630,2,1691.13,3630.26,USD,PayPal,Completed,16.94,270.58,39.52,Web,Occasional,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.572813
TXN_20251001_000011,CUST_00000106,2025-05-23T21:55:24.572817,Electronics,Electronics Product 5833,3,1771.29,5747.58,USD,PayPal,Failed,43.37,425.11,34.77,Web,VIP,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.572822
TXN_20251001_000012,CUST_00000226,2025-06-03T21:55:24.572827,Electronics,Electronics Product 9127,5,1805.5,9722.57,USD,Cash,Pending,44.75,722.2,71.88,Mobile App,VIP,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.572832
TXN_20251001_000013,CUST_00000146,2025-03-16T21:55:24.572837,Mobile,Electronics Product 8555,5,554.98,2963.42,USD,Cash,Completed,44.3,221.99,77.77,Mobile App,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.572842
TXN_20251001_000014,CUST_00000506,2024-12-29T21:55:24.572847,Audio,Electronics Product 9818,4,1199.78,5208.54,USD,Cash,Failed,31.02,383.93,5.53,Store,Occasional,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.572852
TXN_20251001_000015,CUST_00000844,2025-04-25T21:55:24.572857,Electronics,Electronics Product 4725,2,1863.61,3967.68,USD,PayPal,Completed,14.41,298.18,72.13,Phone,Occasional,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.572863
TXN_20251001_000016,VN_CUST_000910,2024-10-08T21:55:24.572868,Audio,Electronics Product 4068,4,1099.99,4750.51,USD,PayPal,Completed,20.06,352.0,21.51,Store,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.572873
TXN_20251001_000017,VN_CUST_000574,2025-07-06T21:55:24.572879,Gaming,Electronics Product 6356,2,1348.9,2957.52,USD,Credit Card,Pending,46.23,215.82,2.33,Web,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.572884
TXN_20251001_000018,CUST_00000079,2025-06-04T21:55:24.572889,Gaming,Electronics Product 6977,1,316.76,321.91,USD,Cash,Pending,20.84,25.34,41.03,Phone,New,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.572894
TXN_20251001_000019,VN_CUST_000364,2024-12-09T21:55:24.572898,Mobile,Electronics Product 9191,4,471.25,2052.13,USD,Cash,Pending,39.06,150.8,22.73,Store,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.572904
TXN_20251001_000020,VN_CUST_000295,2024-11-22T21:55:24.572910,Computing,Electronics Product 6120,5,1924.64,10404.66,USD,PayPal,Failed,27.02,769.86,15.42,Phone,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.572915
TXN_20251001_000021,VN_CUST_000971,2025-05-17T21:55:24.572920,Audio,Electronics Product 2518,1,971.35,1020.43,USD,Cash,Failed,6.94,77.71,35.57,Phone,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.572925
TXN_20251001_000022,CUST_00000729,2025-02-19T21:55:24.572929,Electronics,Electronics Product 8408,3,808.33,2639.5,USD,Credit Card,Failed,45.3,194.0,24.79,Phone,Regular,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.572934
TXN_20251001_000023,CUST_00000236,2024-11-02T21:55:24.572939,Audio,Electronics Product 9347,5,68.62,392.75,USD,Credit Card,Completed,47.45,27.45,25.25,Store,New,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.572944
TXN_20251001_000024,CUST_00000216,2025-06-09T21:55:24.572949,Mobile,Electronics Product 4332,5,84.78,440.69,USD,Bank Transfer,Completed,15.81,33.91,32.93,Phone,New,Synthetic_Realistic_Patterns,2025-10-01T21:55:24.572954
