product_id,name,price,original_price,discount_percent,category,brand,rating,review_count,seller,description,images,specifications,availability,shipping_info,platform,crawl_timestamp,url
CELLPHONES_be6c466b,Xiaomi Product 9390,19724000.0,27843000.0,29.2,dien-thoai,Xiaomi,4.3,185,Shop CellphoneS,"Sản phẩm Product 9390 chính hãng, bảo hành 12 tháng",['https://cellphones.com/images/product_47a65d3c.jpg'],"{'brand': 'Xiaomi', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Trắng'}",True,"{'free_shipping': True, 'fast_delivery': True, 'location': 'Hà Nội'}",cellphones,2025-10-01 21:16:22.730859,https://cellphones.com/product/cf742352
CELLPHONES_e6bde0a7,Asanzo Product 5013,33388000.0,39106000.0,14.6,dien-thoai,Asanzo,4.3,38,Shop Uy tín,"Sản phẩm Product 5013 chính hãng, bảo hành 12 tháng",['https://cellphones.com/images/product_c9100a5b.jpg'],"{'brand': 'Asanzo', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Trắng'}",True,"{'free_shipping': True, 'fast_delivery': True, 'location': 'TP.HCM'}",cellphones,2025-10-01 21:16:22.842244,https://cellphones.com/product/64e8fd07
CELLPHONES_77fd155b,Samsung Product 9390,2863000.0,3430000.0,16.5,dien-thoai,Samsung,4.3,562,Shop Chính hãng,"Sản phẩm Product 9390 chính hãng, bảo hành 12 tháng",['https://cellphones.com/images/product_8a7a9158.jpg'],"{'brand': 'Samsung', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Vàng'}",True,"{'free_shipping': False, 'fast_delivery': False, 'location': 'Đà Nẵng'}",cellphones,2025-10-01 21:16:22.943661,https://cellphones.com/product/f59cedfa
CELLPHONES_bd29b99e,OPPO Product 8799,38669000.0,56487000.0,31.5,dien-thoai,OPPO,3.6,1631,Shop FPT,"Sản phẩm Product 8799 chính hãng, bảo hành 12 tháng",['https://cellphones.com/images/product_b1c98727.jpg'],"{'brand': 'OPPO', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Vàng'}",False,"{'free_shipping': False, 'fast_delivery': True, 'location': 'TP.HCM'}",cellphones,2025-10-01 21:16:23.044163,https://cellphones.com/product/568e252a
CELLPHONES_cb7eb102,FPT Product 8827,39892000.0,55315000.0,27.9,dien-thoai,FPT,4.9,314,Shop FPT,"Sản phẩm Product 8827 chính hãng, bảo hành 12 tháng",['https://cellphones.com/images/product_e8c33177.jpg'],"{'brand': 'FPT', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Đỏ'}",True,"{'free_shipping': False, 'fast_delivery': False, 'location': 'Hà Nội'}",cellphones,2025-10-01 21:16:23.149865,https://cellphones.com/product/9b81f181
CELLPHONES_4aa1f796,VinSmart Product 3286,23124000.0,34200000.0,32.4,dien-thoai,VinSmart,4.1,352,Shop CellphoneS,"Sản phẩm Product 3286 chính hãng, bảo hành 12 tháng",['https://cellphones.com/images/product_b08e2cb4.jpg'],"{'brand': 'VinSmart', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Trắng'}",False,"{'free_shipping': True, 'fast_delivery': False, 'location': 'Hà Nội'}",cellphones,2025-10-01 21:16:23.251895,https://cellphones.com/product/1b24a23d
CELLPHONES_4b0c8fe9,VinSmart Product 6659,16097000.0,22664000.0,29.0,dien-thoai,VinSmart,3.8,1857,Shop Uy tín,"Sản phẩm Product 6659 chính hãng, bảo hành 12 tháng",['https://cellphones.com/images/product_2c99c893.jpg'],"{'brand': 'VinSmart', 'warranty': '12 tháng', 'origin': 'Import', 'color': 'Trắng'}",True,"{'free_shipping': True, 'fast_delivery': False, 'location': 'TP.HCM'}",cellphones,2025-10-01 21:16:23.358844,https://cellphones.com/product/badc2ffc
CELLPHONES_078382cb,OPPO Product 3147,3089000.0,4568000.0,32.4,dien-thoai,OPPO,3.8,517,Shop CellphoneS,"Sản phẩm Product 3147 chính hãng, bảo hành 12 tháng",['https://cellphones.com/images/product_4cd25121.jpg'],"{'brand': 'OPPO', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Đỏ'}",True,"{'free_shipping': False, 'fast_delivery': False, 'location': 'TP.HCM'}",cellphones,2025-10-01 21:16:23.460226,https://cellphones.com/product/21e99f02
CELLPHONES_4004279e,FPT Product 9036,41632000.0,,,dien-thoai,FPT,3.8,788,Shop FPT,"Sản phẩm Product 9036 chính hãng, bảo hành 12 tháng",['https://cellphones.com/images/product_d0aba5bc.jpg'],"{'brand': 'FPT', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Xanh'}",True,"{'free_shipping': True, 'fast_delivery': True, 'location': 'Đà Nẵng'}",cellphones,2025-10-01 21:16:23.571812,https://cellphones.com/product/6fac5806
CELLPHONES_a37e25d7,OPPO Product 2127,35198000.0,45705000.0,23.0,dien-thoai,OPPO,4.8,62,Shop Uy tín,"Sản phẩm Product 2127 chính hãng, bảo hành 12 tháng",['https://cellphones.com/images/product_9277d539.jpg'],"{'brand': 'OPPO', 'warranty': '12 tháng', 'origin': 'Import', 'color': 'Trắng'}",True,"{'free_shipping': False, 'fast_delivery': False, 'location': 'Đà Nẵng'}",cellphones,2025-10-01 21:16:23.681067,https://cellphones.com/product/d37559eb
CELLPHONES_3901d565,Realme Product 8705,34965000.0,38857000.0,10.0,dien-thoai,Realme,4.1,1719,Shop CellphoneS,"Sản phẩm Product 8705 chính hãng, bảo hành 12 tháng",['https://cellphones.com/images/product_51bde2ad.jpg'],"{'brand': 'Realme', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Đỏ'}",True,"{'free_shipping': True, 'fast_delivery': True, 'location': 'Đà Nẵng'}",cellphones,2025-10-01 21:16:23.788130,https://cellphones.com/product/cf7e578f
CELLPHONES_6d88c2ee,FPT Product 2166,10950000.0,,,dien-thoai,FPT,4.8,805,Shop Chính hãng,"Sản phẩm Product 2166 chính hãng, bảo hành 12 tháng",['https://cellphones.com/images/product_6610337c.jpg'],"{'brand': 'FPT', 'warranty': '12 tháng', 'origin': 'Import', 'color': 'Xanh'}",True,"{'free_shipping': True, 'fast_delivery': True, 'location': 'Hà Nội'}",cellphones,2025-10-01 21:16:23.899800,https://cellphones.com/product/0287cb82
CELLPHONES_f977925e,Asanzo Product 4553,43647000.0,49016000.0,11.0,dien-thoai,Asanzo,3.6,1720,Shop Chính hãng,"Sản phẩm Product 4553 chính hãng, bảo hành 12 tháng",['https://cellphones.com/images/product_57134d2e.jpg'],"{'brand': 'Asanzo', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Trắng'}",True,"{'free_shipping': True, 'fast_delivery': False, 'location': 'TP.HCM'}",cellphones,2025-10-01 21:16:24.009749,https://cellphones.com/product/51cf0541
CELLPHONES_3cb06fbe,VinSmart Product 3787,14659000.0,21116000.0,30.6,dien-thoai,VinSmart,4.9,1161,Shop Uy tín,"Sản phẩm Product 3787 chính hãng, bảo hành 12 tháng",['https://cellphones.com/images/product_f20aaffb.jpg'],"{'brand': 'VinSmart', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Xanh'}",True,"{'free_shipping': True, 'fast_delivery': True, 'location': 'Hà Nội'}",cellphones,2025-10-01 21:16:24.110189,https://cellphones.com/product/ffa19ff0
CELLPHONES_38408576,Asanzo Product 2937,42257000.0,61882000.0,31.7,dien-thoai,Asanzo,4.2,1945,Shop Uy tín,"Sản phẩm Product 2937 chính hãng, bảo hành 12 tháng",['https://cellphones.com/images/product_64427650.jpg'],"{'brand': 'Asanzo', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Vàng'}",True,"{'free_shipping': False, 'fast_delivery': False, 'location': 'TP.HCM'}",cellphones,2025-10-01 21:16:24.214338,https://cellphones.com/product/e5c4297f
CELLPHONES_52183ac5,Realme Product 1611,23596000.0,26399000.0,10.6,dien-thoai,Realme,4.5,1085,Shop FPT,"Sản phẩm Product 1611 chính hãng, bảo hành 12 tháng",['https://cellphones.com/images/product_41b678a5.jpg'],"{'brand': 'Realme', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Đỏ'}",True,"{'free_shipping': True, 'fast_delivery': True, 'location': 'Đà Nẵng'}",cellphones,2025-10-01 21:16:24.331019,https://cellphones.com/product/cd2a8fc5
CELLPHONES_86442441,FPT Product 7173,30500000.0,36730000.0,17.0,dien-thoai,FPT,3.8,31,Shop FPT,"Sản phẩm Product 7173 chính hãng, bảo hành 12 tháng",['https://cellphones.com/images/product_e366f0a3.jpg'],"{'brand': 'FPT', 'warranty': '12 tháng', 'origin': 'Import', 'color': 'Trắng'}",True,"{'free_shipping': False, 'fast_delivery': False, 'location': 'TP.HCM'}",cellphones,2025-10-01 21:16:24.432612,https://cellphones.com/product/ca624e9b
CELLPHONES_947927de,Xiaomi Product 1452,19672000.0,,,dien-thoai,Xiaomi,4.7,1479,Shop Chính hãng,"Sản phẩm Product 1452 chính hãng, bảo hành 12 tháng",['https://cellphones.com/images/product_457929b7.jpg'],"{'brand': 'Xiaomi', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Vàng'}",True,"{'free_shipping': True, 'fast_delivery': True, 'location': 'Hà Nội'}",cellphones,2025-10-01 21:16:24.538454,https://cellphones.com/product/669377ac
CELLPHONES_d1e83043,Vivo Product 3152,40158000.0,51509000.0,22.0,dien-thoai,Vivo,3.9,429,Shop FPT,"Sản phẩm Product 3152 chính hãng, bảo hành 12 tháng",['https://cellphones.com/images/product_5f8ed2b1.jpg'],"{'brand': 'Vivo', 'warranty': '12 tháng', 'origin': 'Import', 'color': 'Xanh'}",True,"{'free_shipping': True, 'fast_delivery': True, 'location': 'Hà Nội'}",cellphones,2025-10-01 21:16:24.641749,https://cellphones.com/product/8cf8da9e
CELLPHONES_37b67deb,Samsung Product 1816,25612000.0,,,dien-thoai,Samsung,4.3,412,Shop Chính hãng,"Sản phẩm Product 1816 chính hãng, bảo hành 12 tháng",['https://cellphones.com/images/product_15062fcb.jpg'],"{'brand': 'Samsung', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Vàng'}",True,"{'free_shipping': True, 'fast_delivery': True, 'location': 'TP.HCM'}",cellphones,2025-10-01 21:16:24.754509,https://cellphones.com/product/6110496c
CELLPHONES_7371ddf2,Xiaomi Product 6724,31790000.0,45855000.0,30.7,dien-thoai,Xiaomi,4.9,1840,Shop Chính hãng,"Sản phẩm Product 6724 chính hãng, bảo hành 12 tháng",['https://cellphones.com/images/product_f11e882a.jpg'],"{'brand': 'Xiaomi', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Vàng'}",True,"{'free_shipping': True, 'fast_delivery': True, 'location': 'TP.HCM'}",cellphones,2025-10-01 21:16:24.854659,https://cellphones.com/product/83935199
CELLPHONES_537d5507,VinSmart Product 2101,14490000.0,,,dien-thoai,VinSmart,4.9,464,Shop CellphoneS,"Sản phẩm Product 2101 chính hãng, bảo hành 12 tháng",['https://cellphones.com/images/product_18b83a92.jpg'],"{'brand': 'VinSmart', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Đỏ'}",True,"{'free_shipping': True, 'fast_delivery': True, 'location': 'Hà Nội'}",cellphones,2025-10-01 21:16:24.960943,https://cellphones.com/product/a96f0b6d
CELLPHONES_458c99a8,FPT Product 6869,8857000.0,,,dien-thoai,FPT,3.5,1627,Shop Uy tín,"Sản phẩm Product 6869 chính hãng, bảo hành 12 tháng",['https://cellphones.com/images/product_70a0af36.jpg'],"{'brand': 'FPT', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Xanh'}",True,"{'free_shipping': True, 'fast_delivery': True, 'location': 'TP.HCM'}",cellphones,2025-10-01 21:16:25.062315,https://cellphones.com/product/dc7085ed
CELLPHONES_33a1fde7,Vivo Product 5690,43843000.0,,,dien-thoai,Vivo,4.2,110,Shop Uy tín,"Sản phẩm Product 5690 chính hãng, bảo hành 12 tháng",['https://cellphones.com/images/product_3fae7692.jpg'],"{'brand': 'Vivo', 'warranty': '12 tháng', 'origin': 'Import', 'color': 'Vàng'}",True,"{'free_shipping': True, 'fast_delivery': False, 'location': 'Đà Nẵng'}",cellphones,2025-10-01 21:16:25.167946,https://cellphones.com/product/daf26905
CELLPHONES_9bb61261,VinSmart Product 3139,42994000.0,56509000.0,23.9,dien-thoai,VinSmart,3.5,1131,Shop FPT,"Sản phẩm Product 3139 chính hãng, bảo hành 12 tháng",['https://cellphones.com/images/product_a5b953bb.jpg'],"{'brand': 'VinSmart', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Vàng'}",True,"{'free_shipping': True, 'fast_delivery': False, 'location': 'Hà Nội'}",cellphones,2025-10-01 21:16:25.277003,https://cellphones.com/product/ea47d0a3
CELLPHONES_02fe8459,Samsung Product 8265,22359000.0,26979000.0,17.1,dien-thoai,Samsung,4.3,797,Shop CellphoneS,"Sản phẩm Product 8265 chính hãng, bảo hành 12 tháng",['https://cellphones.com/images/product_edd46574.jpg'],"{'brand': 'Samsung', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Vàng'}",True,"{'free_shipping': False, 'fast_delivery': True, 'location': 'Hà Nội'}",cellphones,2025-10-01 21:16:25.391090,https://cellphones.com/product/ee4b18f5
CELLPHONES_4c766f32,FPT Product 9094,41208000.0,47985000.0,14.1,dien-thoai,FPT,3.7,638,Shop FPT,"Sản phẩm Product 9094 chính hãng, bảo hành 12 tháng",['https://cellphones.com/images/product_cd4ac4e2.jpg'],"{'brand': 'FPT', 'warranty': '12 tháng', 'origin': 'Import', 'color': 'Xanh'}",True,"{'free_shipping': True, 'fast_delivery': False, 'location': 'Đà Nẵng'}",cellphones,2025-10-01 21:16:25.494425,https://cellphones.com/product/4997eb90
CELLPHONES_daff8472,Vivo Product 8708,20757000.0,29249000.0,29.0,dien-thoai,Vivo,4.6,709,Shop Chính hãng,"Sản phẩm Product 8708 chính hãng, bảo hành 12 tháng",['https://cellphones.com/images/product_54ae2398.jpg'],"{'brand': 'Vivo', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Đen'}",False,"{'free_shipping': True, 'fast_delivery': False, 'location': 'TP.HCM'}",cellphones,2025-10-01 21:16:25.599151,https://cellphones.com/product/692332d6
CELLPHONES_332145fa,Asanzo Lenovo ThinkPad X1,30405000.0,43514000.0,30.1,laptop,Asanzo,4.3,1505,Shop Uy tín,"Sản phẩm Lenovo ThinkPad X1 chính hãng, bảo hành 12 tháng",['https://cellphones.com/images/product_ac2b8804.jpg'],"{'brand': 'Asanzo', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Trắng'}",True,"{'free_shipping': True, 'fast_delivery': True, 'location': 'TP.HCM'}",cellphones,2025-10-01 21:16:26.708300,https://cellphones.com/product/67f256c6
CELLPHONES_7f3dba1c,BKAV MacBook Pro M3,44017000.0,51562000.0,14.6,laptop,BKAV,4.0,392,Shop CellphoneS,"Sản phẩm MacBook Pro M3 chính hãng, bảo hành 12 tháng",['https://cellphones.com/images/product_36b2bc95.jpg'],"{'brand': 'BKAV', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Vàng'}",False,"{'free_shipping': True, 'fast_delivery': True, 'location': 'Hà Nội'}",cellphones,2025-10-01 21:16:26.811638,https://cellphones.com/product/c5cec521
CELLPHONES_9084783e,Realme HP Spectre x360,19096000.0,,,laptop,Realme,4.3,294,Shop FPT,"Sản phẩm HP Spectre x360 chính hãng, bảo hành 12 tháng",['https://cellphones.com/images/product_24b53cb0.jpg'],"{'brand': 'Realme', 'warranty': '12 tháng', 'origin': 'Import', 'color': 'Đen'}",True,"{'free_shipping': True, 'fast_delivery': False, 'location': 'Đà Nẵng'}",cellphones,2025-10-01 21:16:26.926788,https://cellphones.com/product/a1d988f2
