product_id,name,price,original_price,discount_percent,category,brand,rating,review_count,seller,description,images,specifications,availability,shipping_info,platform,crawl_timestamp,url
FPTSHOP_e4df84fd,OPPO Product 7027,36929000.0,47351000.0,22.0,dien-thoai,OPPO,4.1,948,Shop FPT,"Sản phẩm Product 7027 chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_eac83556.jpg'],"{'brand': 'OPPO', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Trắng'}",False,"{'free_shipping': True, 'fast_delivery': False, 'location': 'Hà Nội'}",fptshop,2025-10-01 21:16:47.683750,https://fptshop.com/product/3493576c
FPTSHOP_039a76c4,Xiaomi Product 5933,6841000.0,,,dien-thoai,Xiaomi,3.6,224,Shop CellphoneS,"Sản phẩm Product 5933 chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_5b79f40e.jpg'],"{'brand': 'Xiaomi', 'warranty': '12 tháng', 'origin': 'Import', 'color': 'Đen'}",True,"{'free_shipping': True, 'fast_delivery': True, 'location': 'Đà Nẵng'}",fptshop,2025-10-01 21:16:47.791064,https://fptshop.com/product/f4f598ed
FPTSHOP_6fb324ee,Viettel Product 9855,31447000.0,,,dien-thoai,Viettel,3.7,1659,Shop CellphoneS,"Sản phẩm Product 9855 chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_d12ce585.jpg'],"{'brand': 'Viettel', 'warranty': '12 tháng', 'origin': 'Import', 'color': 'Đỏ'}",True,"{'free_shipping': True, 'fast_delivery': True, 'location': 'Hà Nội'}",fptshop,2025-10-01 21:16:47.900391,https://fptshop.com/product/2f2de830
FPTSHOP_1c66805d,Samsung Product 8300,40290000.0,,,dien-thoai,Samsung,4.3,1044,Shop Chính hãng,"Sản phẩm Product 8300 chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_77cd42b8.jpg'],"{'brand': 'Samsung', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Trắng'}",True,"{'free_shipping': False, 'fast_delivery': False, 'location': 'Đà Nẵng'}",fptshop,2025-10-01 21:16:48.006317,https://fptshop.com/product/dc5d3cf0
FPTSHOP_60e0f5b1,FPT Product 7298,896000.0,1233000.0,27.3,dien-thoai,FPT,4.4,339,Shop Uy tín,"Sản phẩm Product 7298 chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_d03f96df.jpg'],"{'brand': 'FPT', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Trắng'}",True,"{'free_shipping': True, 'fast_delivery': True, 'location': 'TP.HCM'}",fptshop,2025-10-01 21:16:48.110897,https://fptshop.com/product/d54c4f41
FPTSHOP_34dbcf72,BKAV Product 4479,30806000.0,,,dien-thoai,BKAV,3.7,1999,Shop Chính hãng,"Sản phẩm Product 4479 chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_8970cf75.jpg'],"{'brand': 'BKAV', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Đen'}",True,"{'free_shipping': False, 'fast_delivery': False, 'location': 'Hà Nội'}",fptshop,2025-10-01 21:16:48.217560,https://fptshop.com/product/e99b0001
FPTSHOP_a55c1a54,Xiaomi Product 7286,12186000.0,,,dien-thoai,Xiaomi,5.0,762,Shop Chính hãng,"Sản phẩm Product 7286 chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_99341c21.jpg'],"{'brand': 'Xiaomi', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Xanh'}",True,"{'free_shipping': False, 'fast_delivery': False, 'location': 'Đà Nẵng'}",fptshop,2025-10-01 21:16:48.325214,https://fptshop.com/product/285c0fcd
FPTSHOP_a4902fa1,OPPO Product 2510,11463000.0,,,dien-thoai,OPPO,4.2,1323,Shop Chính hãng,"Sản phẩm Product 2510 chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_e4430530.jpg'],"{'brand': 'OPPO', 'warranty': '12 tháng', 'origin': 'Import', 'color': 'Vàng'}",True,"{'free_shipping': False, 'fast_delivery': True, 'location': 'Hà Nội'}",fptshop,2025-10-01 21:16:48.432127,https://fptshop.com/product/e5450484
FPTSHOP_d2b10bde,OPPO Product 4997,40419000.0,,,dien-thoai,OPPO,3.5,1986,Shop Chính hãng,"Sản phẩm Product 4997 chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_14ce1fde.jpg'],"{'brand': 'OPPO', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Trắng'}",True,"{'free_shipping': False, 'fast_delivery': True, 'location': 'TP.HCM'}",fptshop,2025-10-01 21:16:48.539989,https://fptshop.com/product/bfaaaacf
FPTSHOP_c6f9d227,Asanzo Product 1048,20702000.0,,,dien-thoai,Asanzo,3.7,1193,Shop CellphoneS,"Sản phẩm Product 1048 chính hãng, bảo hành 12 tháng",['https://fptshop.com/images/product_32cf8665.jpg'],"{'brand': 'Asanzo', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Đen'}",True,"{'free_shipping': False, 'fast_delivery': True, 'location': 'TP.HCM'}",fptshop,2025-10-01 21:16:48.645250,https://fptshop.com/product/f51828d6
