category_std,source_platform_std,avg_price,min_price,max_price,total_review_count,distinct_products,active_days
Cameras,lazada,2422688.6336245886,25000.0,50025000.0,91345,612.0,4
Desktop,lazada,3392867.963329446,7718.0,69000000.0,26615,230.33333333333334,3
Earphones,lazada,1556047.1666666667,124022.0,19826000.0,140,9.0,2
Headphones,lazada,1355512.6065221303,5555.0,47500000.0,451846,938.2,5
Keyboard,lazada,1153075.3624031008,60000.0,8999000.0,1046,14.25,4
Laptops,lazada,6742695.052229744,2000.0,100000000.0,662274,1000.2,5
Monitors,lazada,4197517.200386626,1600.0,98990000.0,99206,710.6666666666666,3
Mouse,lazada,522613.375,24200.0,2700000.0,378,8.0,1
OTHER,lazada,5724142.15405147,1500.0,97990000.0,292742,737.0,2
Printers,lazada,4310486.52948718,75000.0,33582000.0,1215,141.5,2
Smart TVs,lazada,11916328.446150217,45540.0,219900000.0,4004,869.0,2
Smartphones,lazada,5479693.860300956,3000.0,53044000.0,363780,489.0,6
Smartwatches,lazada,2798079.6955350298,85.0,97217000.0,429413,895.8,5
Speakers,lazada,3144208.669975716,20000.0,74990000.0,22758,122.75,4
Tablets,lazada,3902073.771878583,1.0,63690000.0,503297,813.4,5
