review_id,global_product_id,review_text,rating,review_length,sentiment_label,created_at
lazada_lazada_rev_01a35013,lazada_2281148838,"Màu quá sang quá đẹp, mình mở là kết nối bluetooth nhận liền trên dt iphone lun. Nhắc nhở tải app chỉnh tai nghe của sony nữa, quá ok nha",5.0,137,positive,2025-11-17 08:39:54.585193
lazada_lazada_rev_03f116cb,lazada_3145110712,nói chung ok xài được trong tầm giá chỉ hơn có 100K thì quá là xịn sò rồi nhưng sản phẩm này rất lâu rồi mà mở lên thì đang ở chế độ tắt phải cắm sạc nó mới hoạt động mọi người không biết thì cứ tưởng bị hư nhé cho sốt năm sao về sản phẩm này,5.0,242,positive,2025-11-17 08:39:54.585193
lazada_lazada_rev_07820993,lazada_468076545,"Hàng zin, nghe rõ sáng, âm thanh ấm, bass mạnh hơn. (so với Samson SR850C đã mua trước đây)",5.0,91,positive,2025-11-17 08:39:54.585193
lazada_lazada_rev_1276bada,lazada_1731407106,nghe cũng tạm được thôi !!!!!!!!!!!!!!!!!!!!!!!!!!!!!+!!!!!!+;!;;+;;!+;;;;;;;!!!,5.0,80,positive,2025-11-17 08:39:54.585193
lazada_lazada_rev_1287af79,lazada_2633001743,"Wireless convenience at its best, Great value for money,",5.0,56,positive,2025-11-17 08:39:54.585193
lazada_lazada_rev_12b771aa,lazada_723292609,"Thoải mái khi đeo trong các phiên chơi game dài, Mic để giao tiếp rõ ràng trong quá trình chơi game.,",5.0,101,positive,2025-11-17 08:39:54.585193
lazada_lazada_rev_14e334e4,lazada_2660978137,"Pin trâu nha, có tờ hdsd kèm theo, đeo lâu khá thoải mái ko bị đau đầu, âm thanh to sẵn , mình ngồi kế máy quạt tiếng hơi ồn nhưng lúc thử gọi nói chuyện thì nó lọc tạp âm hết luôn ah",5.0,183,positive,2025-11-17 08:39:54.585193
lazada_lazada_rev_1a771bec,lazada_2236978638,"Giao hàng nhanh , chất lượng âm thanh ổn áp , tai nghe mới đeo khá êm tai , chưa biết đeo lâu có đau hay không , nhưng theo cảm nhận ban đầu thì nên mua nhé",5.0,156,positive,2025-11-17 08:39:54.585193
lazada_lazada_rev_245f270f,lazada_521504732,có vẻ ổn áp mâix mã nhìn bắt mắt hơn m10 pro,5.0,44,positive,2025-11-17 08:39:54.585193
lazada_lazada_rev_267f0307,lazada_2200834471,Sound Quality:,5.0,14,positive,2025-11-17 08:39:54.585193
lazada_lazada_rev_2d42a959,lazada_2785470199,"Thực sự không ngờ sản phẩm giá rẻ mà nhà sản xuất đóng gói vỏ vô cùng chu đáo. Nhà bán hàng đóng hộp cẩn thận đảm bảo hàng gửi đi an toàn. Âm thanh bass mid treble rõ rệt, nói chung chất âm vô địch trong tầm giá.",5.0,212,positive,2025-11-17 08:39:54.585193
lazada_lazada_rev_31cd5f73,lazada_2346540376,"Giáo hàng nhanh, sản phẩm hình thức đẹp, chất lượng âm thanh tuyệt vời trong tầm giá, nghe nhạc 8D phê ☺️☺️",5.0,107,positive,2025-11-17 08:39:54.585193
lazada_lazada_rev_3cc69a44,lazada_2201649858,Sound Quality:,5.0,14,positive,2025-11-17 08:39:54.585193
lazada_lazada_rev_4179484e,lazada_3105332350,Sound Quality:,5.0,14,positive,2025-11-17 08:39:54.585193
lazada_lazada_rev_42d52fe1,lazada_2134634329,"Cho đến nay, nó đã được làm tốt! Khi tôi nhận được sản phẩm, tôi đã không có bất kỳ vấn đề. Âm nhạc là vô cùng rõ ràng và sắc nét, và nó khá đơn giản để kết nối nó với các thiết bị khác. Trong người, nó xuất hiện THẬM CHÍ còn tốt hơn về mặt thẩm mỹ! Tôi hy vọng điều này kéo dài một thời gian. \ N \ N (mặc dù tôi tò mò, có thể thay đổi được không? Và làm thế nào?)",5.0,365,positive,2025-11-17 08:39:54.585193
lazada_lazada_rev_42fdff3d,lazada_1308632254,tai nghe khá đẹp,5.0,16,positive,2025-11-17 08:39:54.585193
lazada_lazada_rev_4648471e,lazada_1766044067,🎤Sound Quality:,5.0,15,positive,2025-11-17 08:39:54.585193
